Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,8. COM-B - FINAL,
2,Page,,,,,,,,,,Untitled Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical capability ,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Psychological capability,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Reflective motivation,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Automatic motivation,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical opportunity ,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Social opportunity ,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
10,Process,Flowchart Shapes,2,,,,,,,,Capability,
11,Process,Flowchart Shapes,2,,,,,,,,Motivation,
12,Process,Flowchart Shapes,2,,,,,,,,Opportunity,
25,Line,,2,,,11,9,None,Arrow,,,
26,Line,,2,,,12,9,None,Arrow,,,
27,Line,,2,,,10,9,None,Arrow,,,
28,Line,,2,,,9,10,None,Arrow,,,
29,Line,,2,,,9,12,None,Arrow,,,
30,Line,,2,,,9,11,None,Arrow,,,
31,Line,,2,,,12,11,None,Arrow,,,
32,Line,,2,,,10,11,None,Arrow,,,
33,Line,,2,,,3,10,None,Arrow,,Type of,
34,Line,,2,,,4,10,None,Arrow,,Type of,
35,Line,,2,,,5,11,None,Arrow,,Type of,
36,Line,,2,,,6,11,None,Arrow,,Type of,
37,Line,,2,,,7,12,None,Arrow,,Type of,
38,Line,,2,,,8,12,None,Arrow,,Type of,
