Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,9. Consumption as social practices - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Practices of consumption,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Globalised systems of provision,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Discursive and practical consciousness,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Rate of exchange,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Rules and resources,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental utilisation space,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Knowledge and skills,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental innovations,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Modes of production-consumption ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,"Standards of comfort, cleanliness and convenience",
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Time-space structures,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Structures,
15,Process,Flowchart Shapes,2,,,,,,,,Lifestyles,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Socio-technical innovations,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Social actors,
21,Line,,2,,,5,54,None,Arrow,,relates through,
22,Line,,2,,,3,4,None,Arrow,,,
23,Line,,2,,,4,3,None,Arrow,,,
24,Line,,2,,,8,3,None,Arrow,,,
25,Line,,2,,,9,3,None,Arrow,,,
26,Line,,2,,,10,11,None,Arrow,,,
27,Line,,2,,,11,7,None,Arrow,,,
28,Line,,2,,,11,4,None,Arrow,,,
29,Line,,2,,,11,3,None,Arrow,,,
30,Line,,2,,,12,3,None,Arrow,,,
31,Line,,2,,,13,3,None,Arrow,,,
37,Line,,2,,,6,54,None,Arrow,,,
38,Line,,2,,,7,3,None,Arrow,,,
39,Line,,2,,,18,3,None,Arrow,,,
41,Line,,2,,,7,4,None,Arrow,,,
43,Line,,2,,,15,3,None,Arrow,,,
47,Line,,2,,,3,15,None,Arrow,,Part of,
48,Line,,2,,,5,15,None,Arrow,,Part of,
49,Line,,2,,,4,14,None,Arrow,,Part of,
50,Line,,2,,,7,14,None,Arrow,,Part of,
51,Line,,2,,,13,14,None,Arrow,,Part of,
52,Line,,2,,,15,19,None,Arrow,,Part of,
53,Line,,2,,,5,19,None,Arrow,,Part of,
54,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Discursive and practical consciousness' to 'Lifestyles' Influences relationship,
55,Line,,2,,,54,15,None,Arrow,,relates to,
