Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Hierarchy of negative feedback loops 
3,Process,Flowchart Shapes,1,,,,,,,Meta-task processes 
4,Process,Flowchart Shapes,1,,,,,,,Abandoning the standard 
5,Process,Flowchart Shapes,1,,,,,,,Locus of attention 
6,Process,Flowchart Shapes,1,,,,,,,Task-motivation processes 
7,Process,Flowchart Shapes,1,,,,,,,Task-learning processes 
8,Process,Flowchart Shapes,1,,,,,,,Negative feedback loops 
9,Process,Flowchart Shapes,1,,,,,,,Goal-setting 
10,Process,Flowchart Shapes,1,,,,,,,Strategies for eliminating the feedback-standard gap 
11,Process,Flowchart Shapes,1,,,,,,,Depletion of cognitive resources 
12,Process,Flowchart Shapes,1,,,,,,,Performance / behaviour 
13,Process,Flowchart Shapes,1,,,,,,,Feedback sign 
14,Process,Flowchart Shapes,1,,,,,,,Feedback intervention-induced affect 
15,Process,Flowchart Shapes,1,,,,,,,Standards / goals 
16,Process,Flowchart Shapes,1,,,,,,,Feedback intervention 
17,Process,Flowchart Shapes,1,,,,,,,Feedback-standard discrepancies 
21,Process,Flowchart Shapes,1,,,,,,,Lowering the standard 
22,Process,Flowchart Shapes,1,,,,,,,Rejecting the feedback 
26,Process,Flowchart Shapes,1,,,,,,,Feedback intervention cues 
27,Process,Flowchart Shapes,1,,,,,,,Task characteristics 
28,Process,Flowchart Shapes,1,,,,,,,Situational variables 
29,Process,Flowchart Shapes,1,,,,,,,Personality 
30,Process,Flowchart Shapes,1,,,,,,,Arousal 
31,Process,Flowchart Shapes,1,,,,,,,Pleasantness 
35,Process,Flowchart Shapes,1,,,,,,,Affective processes
36,Process,Flowchart Shapes,1,,,,,,,Resolving feedback-self discreprancies
38,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
39,Process,Flowchart Shapes,1,,,,,,,Anxiety
40,Process,Flowchart Shapes,1,,,,,,,Feedback intervention velocity
42,Process,Flowchart Shapes,1,,,,,,,Hypotheses
44,Process,Flowchart Shapes,1,,,,,,,Attention to the self 
56,Line,,1,,,13,12,None,Arrow,
57,Line,,1,,,17,154,None,Arrow,relates through
59,Line,,1,,,11,12,None,Arrow,
60,Line,,1,,,10,12,None,Arrow,
66,Line,,1,,,14,13,None,Arrow,
87,Line,,1,,,16,5,None,Arrow,
99,Line,,1,,,35,152,None,Arrow,
102,Line,,1,,,3,11,None,Arrow,
103,Line,,1,,,3,14,None,Arrow,
104,Line,,1,,,16,3,None,Arrow,
108,Line,,1,,,3,8,None,Arrow,*
109,Line,,1,,,3,154,None,Arrow,*
110,Line,,1,,,7,8,None,Arrow,*
111,Line,,1,,,7,154,None,Arrow,*
112,Line,,1,,,6,8,None,Arrow,*
113,Line,,1,,,6,154,None,Arrow,*
114,Line,,1,,,5,8,None,Arrow,*
115,Line,,1,,,5,154,None,Arrow,*
116,Line,,1,,,16,17,None,Arrow,Part of
117,Line,,1,,,15,17,None,Arrow,Part of
118,Line,,1,,,13,17,None,Arrow,Part of
119,Line,,1,,,16,5,None,Arrow,*
120,Line,,1,,,16,3,None,Arrow,*
121,Line,,1,,,16,17,None,Arrow,*
122,Line,,1,,,15,5,None,Arrow,*
123,Line,,1,,,15,3,None,Arrow,*
124,Line,,1,,,15,17,None,Arrow,*
125,Line,,1,,,22,10,None,Arrow,Part of
126,Line,,1,,,9,10,None,Arrow,Part of
127,Line,,1,,,4,10,None,Arrow,Part of
128,Line,,1,,,21,10,None,Arrow,Part of
129,Line,,1,,,5,8,None,Arrow,Part of
130,Line,,1,,,17,8,None,Arrow,Part of
131,Line,,1,,,13,8,None,Arrow,Part of
132,Line,,1,,,12,8,None,Arrow,Part of
133,Line,,1,,,10,8,None,Arrow,Part of
134,Line,,1,,,14,8,None,Arrow,Part of
135,Line,,1,,,11,8,None,Arrow,Part of
136,Line,,1,,,8,2,None,Arrow,Part of
137,Line,,1,,,3,2,None,Arrow,Part of
138,Line,,1,,,7,2,None,Arrow,Part of
139,Line,,1,,,6,2,None,Arrow,Part of
140,Line,,1,,,26,2,None,Arrow,Part of
141,Line,,1,,,27,2,None,Arrow,Part of
142,Line,,1,,,29,28,None,Arrow,Part of
143,Line,,1,,,30,35,None,Arrow,Type of
144,Line,,1,,,31,35,None,Arrow,Type of
145,Line,,1,,,36,152,None,Arrow,relates through
146,Line,,1,,,11,3,None,Arrow,Type of
147,Line,,1,,,44,3,None,Arrow,Type of
148,Line,,1,,,38,36,None,Arrow,Type of
149,Line,,1,,,39,36,None,Arrow,Type of
150,Line,,1,,,40,36,None,Arrow,Type of
151,Line,,1,,,42,7,None,Arrow,Type of
152,Terminator,Flowchart Shapes,1,,,,,,,the 'Resolving feedback-self discreprancies' to 'Meta-task processes ' Type of relationship
153,Line,,1,,,152,3,None,Arrow,relates to
154,Terminator,Flowchart Shapes,1,,,,,,,the 'Feedback-standard discrepancies ' to 'Performance / behaviour ' Influences relationship
155,Line,,1,,,154,12,None,Arrow,relates to
