Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,23. Goal setting theory
2,Process,Flowchart Shapes,1,,,,,,,Goals 
3,Process,Flowchart Shapes,1,,,,,,,Goal diffiiculty
4,Process,Flowchart Shapes,1,,,,,,,Goal specificity
6,Process,Flowchart Shapes,1,,,,,,,Self-set goals
7,Process,Flowchart Shapes,1,,,,,,,Participative  goals
8,Process,Flowchart Shapes,1,,,,,,,Assigned goals
9,Process,Flowchart Shapes,1,,,,,,,Proximal goals
10,Process,Flowchart Shapes,1,,,,,,,Directive function
11,Process,Flowchart Shapes,1,,,,,,,Energising function
12,Process,Flowchart Shapes,1,,,,,,,Task performance
13,Process,Flowchart Shapes,1,,,,,,,Values
14,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
15,Process,Flowchart Shapes,1,,,,,,,Commitment
16,Process,Flowchart Shapes,1,,,,,,,Feedback
17,Process,Flowchart Shapes,1,,,,,,,Task complexity
18,Process,Flowchart Shapes,1,,,,,,,Persistence
19,Process,Flowchart Shapes,1,,,,,,,Task-relevant knowledge and strategies / ability
22,Process,Flowchart Shapes,1,,,,,,, Incentives
24,Process,Flowchart Shapes,1,,,,,,,Distal goals
27,Process,Flowchart Shapes,1,,,,,,,Behavioural goals
28,Process,Flowchart Shapes,1,,,,,,,Learning goals
29,Process,Flowchart Shapes,1,,,,,,,Goal achievement
30,Process,Flowchart Shapes,1,,,,,,,Satisfaction
40,Line,,1,,,10,123,None,Arrow,relates through
41,Line,,1,,,11,121,None,Arrow,relates through
44,Line,,1,,,2,133,None,Arrow,relates through
45,Line,,1,,,18,119,None,Arrow,relates through
46,Line,,1,,,19,12,None,Arrow,
55,Line,,1,,,22,6,None,Arrow,
57,Line,,1,,,22,14,None,Arrow,
58,Line,,1,,,14,2,Arrow,Arrow,
62,Line,,1,,,16,14,None,Arrow,
64,Line,,1,,,14,125,None,Arrow,relates through
70,Line,,1,,,12,29,None,Arrow,
71,Line,,1,,,29,30,None,Arrow,
72,Line,,1,,,16,117,None,Arrow,
73,Line,,1,,,19,119,None,Arrow,
74,Line,,1,,,19,121,None,Arrow,
75,Line,,1,,,19,123,None,Arrow,
76,Line,,1,,,19,125,None,Arrow,
77,Line,,1,,,22,127,None,Arrow,relates through
78,Line,,1,,,13,127,None,Arrow,
80,Line,,1,,,16,129,None,Arrow,
81,Line,,1,,,16,131,None,Arrow,
87,Line,,1,,,3,2,None,Arrow,Part of
88,Line,,1,,,4,2,None,Arrow,Part of
89,Line,,1,,,15,129,None,Arrow,*
90,Line,,1,,,15,131,None,Arrow,*
91,Line,,1,,,15,117,None,Arrow,*
92,Line,,1,,,15,133,None,Arrow,*
93,Line,,1,,,3,129,None,Arrow,*
94,Line,,1,,,3,131,None,Arrow,*
95,Line,,1,,,3,117,None,Arrow,*
96,Line,,1,,,3,133,None,Arrow,*
97,Line,,1,,,17,133,None,Arrow,*
98,Line,,1,,,2,133,None,Arrow,*
99,Line,,1,,,16,2,None,Arrow,*
100,Line,,1,,,14,2,None,Arrow,*
101,Line,,1,,,8,22,None,Arrow,Type of
102,Line,,1,,,6,2,None,Arrow,Type of
103,Line,,1,,,7,2,None,Arrow,Type of
104,Line,,1,,,9,2,None,Arrow,Type of
105,Line,,1,,,24,2,None,Arrow,Type of
106,Line,,1,,,8,2,None,Arrow,Type of
107,Line,,1,,,28,2,None,Arrow,Type of
108,Line,,1,,,27,2,None,Arrow,Type of
109,Line,,1,,,16,10,None,Arrow,*
110,Line,,1,,,16,11,None,Arrow,*
111,Line,,1,,,16,18,None,Arrow,*
112,Line,,1,,,2,131,None,Arrow,relates through
113,Line,,1,,,2,129,None,Arrow,relates through
114,Line,,1,,,2,117,None,Arrow,relates through
115,Line,,1,,,13,15,None,Arrow,+
116,Line,,1,,,14,15,None,Arrow,+
117,Terminator,Flowchart Shapes,1,,,,,,,the 'Goals ' to 'Persistence' Influences (*) relationship
118,Line,,1,,,117,18,None,Arrow,relates to
119,Terminator,Flowchart Shapes,1,,,,,,,the 'Persistence' to 'Task performance' Influences relationship
120,Line,,1,,,119,12,None,Arrow,relates to
121,Terminator,Flowchart Shapes,1,,,,,,,the 'Energising function' to 'Task performance' Influences relationship
122,Line,,1,,,121,12,None,Arrow,relates to
123,Terminator,Flowchart Shapes,1,,,,,,,the 'Directive function' to 'Task performance' Influences relationship
124,Line,,1,,,123,12,None,Arrow,relates to
125,Terminator,Flowchart Shapes,1,,,,,,,the 'Self-efficacy' to 'Task performance' Influences relationship
126,Line,,1,,,125,12,None,Arrow,relates to
127,Terminator,Flowchart Shapes,1,,,,,,,the ' Incentives' to 'Commitment' Influences relationship
128,Line,,1,,,127,15,None,Arrow,relates to
129,Terminator,Flowchart Shapes,1,,,,,,,the 'Goals ' to 'Energising function' Influences (*) relationship
130,Line,,1,,,129,11,None,Arrow,relates to
131,Terminator,Flowchart Shapes,1,,,,,,,the 'Goals ' to 'Directive function' Influences (*) relationship
132,Line,,1,,,131,10,None,Arrow,relates to
133,Terminator,Flowchart Shapes,1,,,,,,,the 'Goals ' to 'Task-relevant knowledge and strategies / ability' Influences relationship
134,Line,,1,,,133,19,None,Arrow,relates to
