Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Expected consequences of target behaviour
3,Process,Flowchart Shapes,1,,,,,,,Health costs and benefits
4,Process,Flowchart Shapes,1,,,,,,,Emotional costs and benefits
5,Process,Flowchart Shapes,1,,,,,,,Perceived competence
6,Process,Flowchart Shapes,1,,,,,,,Social influence
7,Process,Flowchart Shapes,1,,,,,,,Personal goal structure 
8,Process,Flowchart Shapes,1,,,,,,,Higher order goals
9,Process,Flowchart Shapes,1,,,,,,,Lower order goals
12,Process,Flowchart Shapes,1,,,,,,,Target behaviour
13,Process,Flowchart Shapes,1,,,,,,,Threat appraisal
14,Process,Flowchart Shapes,1,,,,,,,Environmental characteristics
15,Process,Flowchart Shapes,1,,,,,,,Personal characteristics
16,Process,Flowchart Shapes,1,,,,,,,Precontemplation
17,Process,Flowchart Shapes,1,,,,,,,Contemplation
18,Process,Flowchart Shapes,1,,,,,,,Maintenance
19,Process,Flowchart Shapes,1,,,,,,,Initial behaviour change
20,Process,Flowchart Shapes,1,,,,,,,Regulatory processes
22,Process,Flowchart Shapes,1,,,,,,,Feedback mechansisms
23,Process,Flowchart Shapes,1,,,,,,,Feedforward mechansisms
24,Process,Flowchart Shapes,1,,,,,,,Action control processes
27,Line,,1,,,3,4,Arrow,Arrow,Correlation
28,Line,,1,,,4,6,Arrow,Arrow,Correlation
29,Line,,1,,,6,5,Arrow,Arrow,Correlation
30,Line,,1,,,5,3,Arrow,Arrow,Correlation
31,Line,,1,,,5,4,Arrow,Arrow,Correlation
32,Line,,1,,,3,6,Arrow,Arrow,Correlation
37,Line,,1,,,2,7,None,Arrow,
38,Line,,1,,,7,2,None,Arrow,Correlation
44,Line,,1,,,13,9,None,Arrow,
45,Line,,1,,,14,13,None,Arrow,
46,Line,,1,,,15,13,None,Arrow,
47,Line,,1,,,14,2,None,Arrow,
48,Line,,1,,,15,2,None,Arrow,
49,Line,,1,,,16,108,None,Arrow,relates through
50,Line,,1,,,17,102,None,Arrow,relates through
51,Line,,1,,,17,100,None,Arrow,relates through
52,Line,,1,,,19,106,None,Arrow,relates through
53,Line,,1,,,19,104,None,Arrow,relates through
54,Line,,1,,,18,110,None,Arrow,relates through
58,Line,,1,,,14,100,None,Arrow,
59,Line,,1,,,2,100,None,Arrow,
60,Line,,1,,,2,102,None,Arrow,
61,Line,,1,,,14,104,None,Arrow,
62,Line,,1,,,20,106,None,Arrow,
67,Line,,1,,,20,108,None,Arrow,
68,Line,,1,,,20,104,None,Arrow,
70,Line,,1,,,20,102,None,Arrow,
72,Line,,1,,,2,106,None,Arrow,
73,Line,,1,,,14,106,None,Arrow,
74,Line,,1,,,20,100,None,Arrow,
75,Line,,1,,,14,110,None,Arrow,
77,Line,,1,,,20,110,None,Arrow,
78,Line,,1,,,2,102,None,Arrow,
79,Line,,1,,,8,7,None,Arrow,Part of
80,Line,,1,,,9,7,None,Arrow,Part of
81,Line,,1,,,12,106,None,Arrow,*
82,Line,,1,,,12,104,None,Arrow,*
83,Line,,1,,,12,108,None,Arrow,*
84,Line,,1,,,12,102,None,Arrow,*
85,Line,,1,,,12,100,None,Arrow,*
86,Line,,1,,,12,110,None,Arrow,*
87,Line,,1,,,7,106,None,Arrow,*
88,Line,,1,,,7,104,None,Arrow,*
89,Line,,1,,,7,108,None,Arrow,*
90,Line,,1,,,7,102,None,Arrow,*
91,Line,,1,,,7,100,None,Arrow,*
92,Line,,1,,,7,110,None,Arrow,*
93,Line,,1,,,24,20,None,Arrow,Part of
94,Line,,1,,,22,20,None,Arrow,Part of
95,Line,,1,,,23,20,None,Arrow,Part of
96,Line,,1,,,3,2,None,Arrow,Part of
97,Line,,1,,,4,2,None,Arrow,Part of
98,Line,,1,,,6,2,None,Arrow,Part of
99,Line,,1,,,5,2,None,Arrow,Part of
100,Terminator,Flowchart Shapes,1,,,,,,,the 'Contemplation' to 'Initial behaviour change' Transitions to relationship
101,Line,,1,,,100,19,None,Arrow,relates to
102,Terminator,Flowchart Shapes,1,,,,,,,the 'Contemplation' to 'Precontemplation' Transitions to relationship
103,Line,,1,,,102,16,None,Arrow,relates to
104,Terminator,Flowchart Shapes,1,,,,,,,the 'Initial behaviour change' to 'Maintenance' Transitions to relationship
105,Line,,1,,,104,18,None,Arrow,relates to
106,Terminator,Flowchart Shapes,1,,,,,,,the 'Initial behaviour change' to 'Contemplation' Transitions to relationship
107,Line,,1,,,106,17,None,Arrow,relates to
108,Terminator,Flowchart Shapes,1,,,,,,,the 'Precontemplation' to 'Contemplation' Transitions to relationship
109,Line,,1,,,108,17,None,Arrow,relates to
110,Terminator,Flowchart Shapes,1,,,,,,,the 'Maintenance' to 'Initial behaviour change' Transitions to relationship
111,Line,,1,,,110,19,None,Arrow,relates to
