Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Enactment of AIDS preventive behaviour
3,Process,Flowchart Shapes,1,,,,,,,Performance of behavioural skills
4,Process,Flowchart Shapes,1,,,,,,,Information
5,Process,Flowchart Shapes,1,,,,,,,Motivation
6,Process,Flowchart Shapes,1,,,,,,,Self-acceptance of sexuality
7,Process,Flowchart Shapes,1,,,,,,,Ability to acquire behaviourally relevant information
8,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
9,Process,Flowchart Shapes,1,,,,,,,Ability to practise self and partner reinforcement
10,Process,Flowchart Shapes,1,,,,,,,Ability to negotiate AIDS prevention with partner
11,Process,Flowchart Shapes,1,,,,,,,Ability to perform public prevention acts
12,Process,Flowchart Shapes,1,,,,,,,Consistent AIDS prevention ability
13,Process,Flowchart Shapes,1,,,,,,,Group-specific skills
15,Process,Flowchart Shapes,1,,,,,,,Information about means of transmission
16,Process,Flowchart Shapes,1,,,,,,,Information about means of prevention
17,Process,Flowchart Shapes,1,,,,,,,Decision rules about tranmission and prevention
18,Process,Flowchart Shapes,1,,,,,,,Implicit theories about risk and prevention
20,Process,Flowchart Shapes,1,,,,,,,Attitudes
21,Process,Flowchart Shapes,1,,,,,,,Social norms
22,Process,Flowchart Shapes,1,,,,,,,Beliefs about outcomes
23,Process,Flowchart Shapes,1,,,,,,,Evaluation of outcomes
24,Process,Flowchart Shapes,1,,,,,,,Beliefs about support / opposition from significant others
25,Process,Flowchart Shapes,1,,,,,,,Motivation to comply with referent others' wishes
26,Process,Flowchart Shapes,1,,,,,,,Complexity of AIDS preventive behaviour
27,Line,,1,,,3,2,None,Arrow,+
28,Line,,1,,,4,3,None,Arrow,+
29,Line,,1,,,5,3,None,Arrow,+
30,Line,,1,,,4,5,None,Arrow,?
31,Line,,1,,,5,4,None,Arrow,?
34,Line,,1,,,5,59,None,Arrow,relates through
35,Line,,1,,,4,57,None,Arrow,relates through
36,Line,,1,,,20,5,None,Arrow,Part of
37,Line,,1,,,21,5,None,Arrow,Part of
38,Line,,1,,,22,20,None,Arrow,*
39,Line,,1,,,23,20,None,Arrow,*
40,Line,,1,,,24,21,None,Arrow,*
41,Line,,1,,,25,21,None,Arrow,*
42,Line,,1,,,2,26,None,Arrow,Has attribute
43,Line,,1,,,26,57,None,Arrow,-
44,Line,,1,,,26,59,None,Arrow,-
45,Line,,1,,,6,3,None,Arrow,Type of
46,Line,,1,,,7,3,None,Arrow,Type of
47,Line,,1,,,8,3,None,Arrow,Type of
48,Line,,1,,,9,3,None,Arrow,Type of
49,Line,,1,,,10,3,None,Arrow,Type of
50,Line,,1,,,11,3,None,Arrow,Type of
51,Line,,1,,,12,3,None,Arrow,Type of
52,Line,,1,,,13,3,None,Arrow,Type of
53,Line,,1,,,15,4,None,Arrow,Type of
54,Line,,1,,,16,4,None,Arrow,Type of
55,Line,,1,,,17,4,None,Arrow,Type of
56,Line,,1,,,18,4,None,Arrow,Type of
57,Terminator,Flowchart Shapes,1,,,,,,,the 'Information' to 'Enactment of AIDS preventive behaviour' May influence relationship
58,Line,,1,,,57,2,None,Arrow,relates to
59,Terminator,Flowchart Shapes,1,,,,,,,the 'Motivation' to 'Enactment of AIDS preventive behaviour' May influence relationship
60,Line,,1,,,59,2,None,Arrow,relates to
