Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Beliefs about outcomes
3,Process,Flowchart Shapes,1,,,,,,,Evaluation of outcomes
5,Process,Flowchart Shapes,1,,,,,,,Attitude
6,Process,Flowchart Shapes,1,,,,,,,Personal motivation
8,Process,Flowchart Shapes,1,,,,,,,Perceptions of social support
9,Process,Flowchart Shapes,1,,,,,,,Motivation to comply
11,Process,Flowchart Shapes,1,,,,,,,Social motivation
12,Process,Flowchart Shapes,1,,,,,,,Adherence motivation
13,Process,Flowchart Shapes,1,,,,,,,Objective abilities
14,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
16,Process,Flowchart Shapes,1,,,,,,,Adherence behaviour
17,Process,Flowchart Shapes,1,,,,,,,Viral load
18,Process,Flowchart Shapes,1,,,,,,,CD-4 count
19,Process,Flowchart Shapes,1,,,,,,,Objective health status
20,Process,Flowchart Shapes,1,,,,,,,Subjective health status
21,Process,Flowchart Shapes,1,,,,,,,Drug resistance
22,Process,Flowchart Shapes,1,,,,,,,Health outcomes 
23,Process,Flowchart Shapes,1,,,,,,,Accuracy of information
24,Process,Flowchart Shapes,1,,,,,,,Faulty heuristics
25,Process,Flowchart Shapes,1,,,,,,,Inaccurate implicit theories
26,Process,Flowchart Shapes,1,,,,,,,Information
27,Process,Flowchart Shapes,1,,,,,,,Moderating variables 
29,Process,Flowchart Shapes,1,,,,,,,Psychological health  
30,Process,Flowchart Shapes,1,,,,,,,Chemical dependency
31,Process,Flowchart Shapes,1,,,,,,,Stable or unstable living conditions 
32,Process,Flowchart Shapes,1,,,,,,,Ease of access to medication and medical services
33,Process,Flowchart Shapes,1,,,,,,,Adherence behavioural skills
41,Line,,1,,,6,12,None,Arrow,
42,Line,,1,,,11,12,None,Arrow,
46,Line,,1,,,12,16,None,Arrow,
51,Line,,1,,,23,26,None,Arrow,
52,Line,,1,,,24,26,None,Arrow,
53,Line,,1,,,26,24,None,Arrow,
54,Line,,1,,,25,26,None,Arrow,
55,Line,,1,,,22,26,None,Arrow,
56,Line,,1,,,16,22,None,Arrow,
57,Line,,1,,,22,33,None,Arrow,
58,Line,,1,,,22,12,None,Arrow,
59,Line,,1,,,26,33,None,Arrow,
67,Line,,1,,,27,12,None,Arrow,
68,Line,,1,,,27,26,None,Arrow,
69,Line,,1,,,12,33,None,Arrow,
70,Line,,1,,,27,33,None,Arrow,
71,Line,,1,,,33,16,None,Arrow,
74,Line,,1,,,3,5,None,Arrow,*
75,Line,,1,,,2,5,None,Arrow,*
76,Line,,1,,,5,6,None,Arrow,Part of
77,Line,,1,,,8,11,None,Arrow,*
78,Line,,1,,,9,11,None,Arrow,*
79,Line,,1,,,13,33,None,Arrow,Part of
80,Line,,1,,,14,33,None,Arrow,Part of
81,Line,,1,,,31,27,None,Arrow,Type of
82,Line,,1,,,32,27,None,Arrow,Type of
83,Line,,1,,,29,27,None,Arrow,Type of
84,Line,,1,,,30,27,None,Arrow,Type of
85,Line,,1,,,17,22,None,Arrow,Part of
86,Line,,1,,,18,22,None,Arrow,Part of
87,Line,,1,,,19,22,None,Arrow,Part of
88,Line,,1,,,21,22,None,Arrow,Part of
89,Line,,1,,,20,22,None,Arrow,Part of
