Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Knowledge and beliefs 
3,Process,Flowchart Shapes,1,,,,,,,Health status 
4,Process,Flowchart Shapes,1,,,,,,,Self-management behaviours / health behaviour change 
5,Process,Flowchart Shapes,1,,,,,,,Goal congruence 
6,Process,Flowchart Shapes,1,,,,,,,Outcome expectancy 
7,Process,Flowchart Shapes,1,,,,,,,Self-efficacy 
8,Process,Flowchart Shapes,1,,,,,,,Condition specific knowledge 
9,Process,Flowchart Shapes,1,,,,,,,"Collaboration between individuals, families, healthcare professionals "
10,Process,Flowchart Shapes,1,,,,,,,Social support 
11,Process,Flowchart Shapes,1,,,,,,,Social influence 
12,Process,Flowchart Shapes,1,,,,,,,Social facilitation 
13,Process,Flowchart Shapes,1,,,,,,,Managing emotions and responses 
14,Process,Flowchart Shapes,1,,,,,,,Planning 
15,Process,Flowchart Shapes,1,,,,,,,Decision making 
16,Process,Flowchart Shapes,1,,,,,,,Self evaluation 
17,Process,Flowchart Shapes,1,,,,,,,Self-monitoring and reflective thinking 
18,Process,Flowchart Shapes,1,,,,,,,Goal setting 
19,Process,Flowchart Shapes,1,,,,,,,Self-regulation skills and abilities 
33,Line,,1,,,12,2,Arrow,Arrow,Correlation
35,Line,,1,,,12,19,Arrow,Arrow,Correlation
36,Line,,1,,,19,2,Arrow,Arrow,Correlation
37,Line,,1,,,19,4,None,Arrow,+
38,Line,,1,,,12,4,None,Arrow,+
39,Line,,1,,,8,4,None,Arrow,+
40,Line,,1,,,7,4,None,Arrow,+
41,Line,,1,,,6,4,None,Arrow,+
42,Line,,1,,,5,4,None,Arrow,+
43,Line,,1,,,4,3,None,Arrow,+
49,Line,,1,,,8,2,None,Arrow,Type of
50,Line,,1,,,7,2,None,Arrow,Type of
51,Line,,1,,,5,2,None,Arrow,Type of
52,Line,,1,,,6,2,None,Arrow,Type of
53,Line,,1,,,18,19,None,Arrow,Type of
54,Line,,1,,,17,19,None,Arrow,Type of
55,Line,,1,,,16,19,None,Arrow,Type of
56,Line,,1,,,15,19,None,Arrow,Type of
57,Line,,1,,,14,19,None,Arrow,Type of
58,Line,,1,,,13,19,None,Arrow,Type of
59,Line,,1,,,11,12,None,Arrow,Type of
60,Line,,1,,,10,12,None,Arrow,Type of
61,Line,,1,,,9,12,None,Arrow,Type of
