Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Gender
3,Process,Flowchart Shapes,1,,,,,,,Years of education
4,Process,Flowchart Shapes,1,,,,,,,Institutional factors
5,Process,Flowchart Shapes,1,,,,,,,Economic factors
6,Process,Flowchart Shapes,1,,,,,,,Social and cultural factors
7,Process,Flowchart Shapes,1,,,,,,,Values
8,Process,Flowchart Shapes,1,,,,,,,Motivation
9,Process,Flowchart Shapes,1,,,,,,,Attitudes 
10,Process,Flowchart Shapes,1,,,,,,,Costs
11,Process,Flowchart Shapes,1,,,,,,,Environmental knowledge and awareness
12,Process,Flowchart Shapes,1,,,,,,,Emotional involvement
13,Process,Flowchart Shapes,1,,,,,,,Direct environmental behaviour
14,Process,Flowchart Shapes,1,,,,,,,Indirect environmental behaviour
15,Process,Flowchart Shapes,1,,,,,,,Willingness to change
16,Process,Flowchart Shapes,1,,,,,,,Beliefs
17,Process,Flowchart Shapes,1,,,,,,,Decisions
18,Process,Flowchart Shapes,1,,,,,,,Locus of control
19,Process,Flowchart Shapes,1,,,,,,,Barrriers
20,Process,Flowchart Shapes,1,,,,,,,Demographic factors
22,Process,Flowchart Shapes,1,,,,,,,External factors
25,Process,Flowchart Shapes,1,,,,,,,Pro-environmental consciousness
27,Process,Flowchart Shapes,1,,,,,,,Internal factors
29,Line,,1,,,7,8,None,Arrow,
30,Line,,1,,,7,13,None,Arrow,
31,Line,,1,,,11,14,None,Arrow,
32,Line,,1,,,27,13,None,Arrow,
33,Line,,1,,,13,27,None,Arrow,
34,Line,,1,,,22,27,None,Arrow,
56,Line,,1,,,19,20,None,Arrow,
57,Line,,1,,,19,27,None,Arrow,
58,Line,,1,,,19,14,None,Arrow,
59,Line,,1,,,19,22,None,Arrow,
60,Line,,1,,,19,13,None,Arrow,
61,Line,,1,,,27,22,None,Arrow,
63,Line,,1,,,5,17,None,Arrow,
64,Line,,1,,,22,13,None,Arrow,
65,Line,,1,,,18,13,None,Arrow,
67,Line,,1,,,9,14,None,Arrow,
68,Line,,1,,,2,16,None,Arrow,
69,Line,,1,,,2,15,None,Arrow,
70,Line,,1,,,2,9,None,Arrow,
71,Line,,1,,,3,11,None,Arrow,
72,Line,,1,,,2,12,None,Arrow,
73,Line,,1,,,2,11,None,Arrow,
74,Line,,1,,,2,20,None,Arrow,Part of
75,Line,,1,,,3,20,None,Arrow,Part of
76,Line,,1,,,4,22,None,Arrow,Part of
77,Line,,1,,,5,22,None,Arrow,Part of
78,Line,,1,,,6,22,None,Arrow,Part of
79,Line,,1,,,9,13,None,Arrow,*
80,Line,,1,,,10,13,None,Arrow,*
81,Line,,1,,,9,25,None,Arrow,Part of
82,Line,,1,,,12,25,None,Arrow,Part of
83,Line,,1,,,11,25,None,Arrow,Part of
84,Line,,1,,,8,25,None,Arrow,Part of
85,Line,,1,,,7,25,None,Arrow,Part of
86,Line,,1,,,25,27,None,Arrow,Part of
87,Line,,1,,,10,27,None,Arrow,Part of
88,Line,,1,,,15,27,None,Arrow,Part of
89,Line,,1,,,16,27,None,Arrow,Part of
90,Line,,1,,,17,27,None,Arrow,Part of
91,Line,,1,,,18,27,None,Arrow,Part of
