Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Antecedents
3,Process,Flowchart Shapes,1,,,,,,,Reinforcement history
4,Process,Flowchart Shapes,1,,,,,,,Peers
5,Process,Flowchart Shapes,1,,,,,,,Culture and gender roles
6,Process,Flowchart Shapes,1,,,,,,,SES
7,Process,Flowchart Shapes,1,,,,,,,Family influences
8,Process,Flowchart Shapes,1,,,,,,,Genetics and biology
9,Process,Flowchart Shapes,1,,,,,,,Sexual partners
10,Process,Flowchart Shapes,1,,,,,,,Public schools
11,Process,Flowchart Shapes,1,,,,,,,Assertivness and social skills
12,Process,Flowchart Shapes,1,,,,,,,Media
13,Process,Flowchart Shapes,1,,,,,,,"Knowledge, attitudes, and self-efficacy"
14,Process,Flowchart Shapes,1,,,,,,,Risk behaviours
15,Process,Flowchart Shapes,1,,,,,,,Drug use and abuse
16,Process,Flowchart Shapes,1,,,,,,,Delinquency
17,Process,Flowchart Shapes,1,,,,,,,High-risk sports
19,Process,Flowchart Shapes,1,,,,,,,Condom use / sexual behaviour
20,Process,Flowchart Shapes,1,,,,,,,Consequences
21,Process,Flowchart Shapes,1,,,,,,,Sexual pleasure / climax
22,Process,Flowchart Shapes,1,,,,,,,Partner's sexual pleasure
23,Process,Flowchart Shapes,1,,,,,,,Communication with others
24,Process,Flowchart Shapes,1,,,,,,,Peer / social reactions
25,Process,Flowchart Shapes,1,,,,,,,Family reactions
26,Process,Flowchart Shapes,1,,,,,,,General community reactions
27,Process,Flowchart Shapes,1,,,,,,,Pregnancy or disease outcomes
28,Process,Flowchart Shapes,1,,,,,,,Hassles
29,Process,Flowchart Shapes,1,,,,,,,Minor discomfort
30,Process,Flowchart Shapes,1,,,,,,,Decreased sensitivity
32,Process,Flowchart Shapes,1,,,,,,,Multiple schedules
33,Process,Flowchart Shapes,1,,,,,,,Metacontingencies
35,Process,Flowchart Shapes,1,,,,,,,Dynamic systems
36,Process,Flowchart Shapes,1,,,,,,,Density of social reinforcement
40,Line,,1,,,27,26,None,Arrow,
41,Line,,1,,,26,27,None,Arrow,
42,Line,,1,,,25,27,None,Arrow,
43,Line,,1,,,25,26,None,Arrow,
44,Line,,1,,,26,25,None,Arrow,
45,Line,,1,,,27,25,None,Arrow,
46,Line,,1,,,23,25,None,Arrow,
47,Line,,1,,,24,26,None,Arrow,
48,Line,,1,,,23,24,None,Arrow,
49,Line,,1,,,25,23,None,Arrow,
50,Line,,1,,,23,22,None,Arrow,
51,Line,,1,,,22,23,None,Arrow,
52,Line,,1,,,21,23,None,Arrow,
53,Line,,1,,,23,21,None,Arrow,
54,Line,,1,,,22,21,None,Arrow,
55,Line,,1,,,21,22,None,Arrow,
56,Line,,1,,,26,28,None,Arrow,
57,Line,,1,,,22,28,None,Arrow,
58,Line,,1,,,28,22,None,Arrow,
75,Line,,1,,,20,2,None,Arrow,
76,Line,,1,,,2,19,None,Arrow,
77,Line,,1,,,19,20,None,Arrow,
83,Line,,1,,,35,2,None,Arrow,
84,Line,,1,,,32,2,None,Arrow,
85,Line,,1,,,33,2,None,Arrow,
86,Line,,1,,,36,2,None,Arrow,
87,Line,,1,,,35,20,None,Arrow,
88,Line,,1,,,32,20,None,Arrow,
89,Line,,1,,,33,20,None,Arrow,
90,Line,,1,,,36,20,None,Arrow,
98,Line,,1,,,14,2,None,Arrow,Type of
99,Line,,1,,,12,2,None,Arrow,Type of
100,Line,,1,,,11,2,None,Arrow,Type of
101,Line,,1,,,8,2,None,Arrow,Type of
102,Line,,1,,,5,2,None,Arrow,Type of
103,Line,,1,,,7,2,None,Arrow,Type of
104,Line,,1,,,10,2,None,Arrow,Type of
105,Line,,1,,,6,2,None,Arrow,Type of
106,Line,,1,,,3,2,None,Arrow,Type of
107,Line,,1,,,4,2,None,Arrow,Type of
108,Line,,1,,,9,2,None,Arrow,Type of
109,Line,,1,,,13,2,None,Arrow,Type of
110,Line,,1,,,21,20,None,Arrow,Type of
111,Line,,1,,,22,20,None,Arrow,Type of
112,Line,,1,,,23,20,None,Arrow,Type of
113,Line,,1,,,24,20,None,Arrow,Type of
114,Line,,1,,,25,20,None,Arrow,Type of
115,Line,,1,,,26,20,None,Arrow,Type of
116,Line,,1,,,27,20,None,Arrow,Type of
117,Line,,1,,,28,20,None,Arrow,Type of
118,Line,,1,,,13,20,None,Arrow,Type of
119,Line,,1,,,29,28,None,Arrow,Type of
120,Line,,1,,,30,28,None,Arrow,Type of
121,Line,,1,,,15,14,None,Arrow,Type of
122,Line,,1,,,17,14,None,Arrow,Type of
123,Line,,1,,,16,14,None,Arrow,Type of
