Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Initiating sources
4,Process,Flowchart Shapes,1,,,,,,,Environmental sources
5,Process,Flowchart Shapes,1,,,,,,,Intrapersonal sources
7,Process,Flowchart Shapes,1,,,,,,,Observational learning
8,Process,Flowchart Shapes,1,,,,,,,Verbal persuasion
10,Process,Flowchart Shapes,1,,,,,,,Prior experiences
11,Process,Flowchart Shapes,1,,,,,,,Personality factors
12,Process,Flowchart Shapes,1,,,,,,,Biological factors
13,Process,Flowchart Shapes,1,,,,,,,Emotional feelings
14,Process,Flowchart Shapes,1,,,,,,,Threat appraisal
15,Process,Flowchart Shapes,1,,,,,,,Coping appraisal
16,Process,Flowchart Shapes,1,,,,,,,Vulnerability
17,Process,Flowchart Shapes,1,,,,,,,Severity 
18,Process,Flowchart Shapes,1,,,,,,,Intrinsic rewards
19,Process,Flowchart Shapes,1,,,,,,,Extrinsic rewards
20,Process,Flowchart Shapes,1,,,,,,,Adaptive response
21,Process,Flowchart Shapes,1,,,,,,,Response costs
22,Process,Flowchart Shapes,1,,,,,,,Response efficacy
23,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
24,Process,Flowchart Shapes,1,,,,,,,Protection motivation
25,Process,Flowchart Shapes,1,,,,,,,Action or inhibition of action
26,Process,Flowchart Shapes,1,,,,,,,Fear arousal
28,Process,Flowchart Shapes,1,,,,,,,Maladaptive response
43,Line,,1,,,2,14,None,Arrow,
44,Line,,1,,,2,15,None,Arrow,
46,Line,,1,,,14,24,None,Arrow,
47,Line,,1,,,15,24,None,Arrow,
48,Line,,1,,,24,25,None,Arrow,
51,Line,,1,,,26,17,None,Arrow,
62,Line,,1,,,4,2,None,Arrow,Type of
63,Line,,1,,,5,2,None,Arrow,Type of
64,Line,,1,,,7,4,None,Arrow,Type of
65,Line,,1,,,8,4,None,Arrow,Type of
66,Line,,1,,,10,5,None,Arrow,Type of
67,Line,,1,,,11,5,None,Arrow,Type of
68,Line,,1,,,12,5,None,Arrow,Type of
69,Line,,1,,,13,5,None,Arrow,Type of
70,Line,,1,,,17,14,None,Arrow,+
71,Line,,1,,,16,14,None,Arrow,+
72,Line,,1,,,28,14,None,Arrow,+
73,Line,,1,,,18,28,None,Arrow,Part of
74,Line,,1,,,19,28,None,Arrow,Part of
75,Line,,1,,,22,20,None,Arrow,Part of
76,Line,,1,,,23,20,None,Arrow,Part of
77,Line,,1,,,20,15,None,Arrow,+
78,Line,,1,,,21,15,None,Arrow,+
