Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Perception
3,Process,Flowchart Shapes,1,,,,,,,Impulsive system
4,Process,Flowchart Shapes,1,,,,,,,Experiential state of awareness
5,Process,Flowchart Shapes,1,,,,,,,Spreading activation
6,Process,Flowchart Shapes,1,,,,,,,Associative clusters
7,Process,Flowchart Shapes,1,,,,,,,Motivational orientation
8,Process,Flowchart Shapes,1,,,,,,,Approach 
9,Process,Flowchart Shapes,1,,,,,,,Avoidance
10,Process,Flowchart Shapes,1,,,,,,,Reflective system
11,Process,Flowchart Shapes,1,,,,,,,Noetic state of awareness
12,Process,Flowchart Shapes,1,,,,,,,Relational schemata
13,Process,Flowchart Shapes,1,,,,,,,Truth values
14,Process,Flowchart Shapes,1,,,,,,,Syllogistic rules
15,Process,Flowchart Shapes,1,,,,,,,Noetic decisions
16,Process,Flowchart Shapes,1,,,,,,,Propositional representations
17,Process,Flowchart Shapes,1,,,,,,,Propositional categorisations
18,Process,Flowchart Shapes,1,,,,,,,Behavioural decision
19,Process,Flowchart Shapes,1,,,,,,,Goal
20,Process,Flowchart Shapes,1,,,,,,,Intending
21,Process,Flowchart Shapes,1,,,,,,,Arousal
22,Process,Flowchart Shapes,1,,,,,,,Behaviour
27,Process,Flowchart Shapes,1,,,,,,,Behavioural schemata
31,Line,,1,,,21,10,None,Arrow,
32,Line,,1,,,21,3,None,Arrow,
33,Line,,1,,,2,22,None,Arrow,
37,Line,,1,,,7,22,None,Arrow,
38,Line,,1,,,3,5,None,Arrow,
39,Line,,1,,,2,17,None,Arrow,
40,Line,,1,,,17,15,None,Arrow,
41,Line,,1,,,15,18,None,Arrow,
42,Line,,1,,,7,5,None,Arrow,
43,Line,,1,,,13,12,None,Arrow,
44,Line,,1,,,3,10,None,Arrow,
45,Line,,1,,,10,3,None,Arrow,
48,Line,,1,,,6,5,None,Arrow,
52,Line,,1,,,12,14,None,Arrow,
53,Line,,1,,,14,15,None,Arrow,
54,Line,,1,,,19,79,None,Arrow,
56,Line,,1,,,27,22,None,Arrow,
57,Line,,1,,,6,27,None,Arrow,
58,Line,,1,,,5,27,None,Arrow,
59,Line,,1,,,20,79,None,Arrow,relates through
60,Line,,1,,,2,27,None,Arrow,
61,Line,,1,,,20,18,None,Arrow,
65,Line,,1,,,2,5,None,Arrow,
66,Line,,1,,,10,27,None,Arrow,*
67,Line,,1,,,3,27,None,Arrow,*
68,Line,,1,,,8,7,None,Arrow,Type of
69,Line,,1,,,9,7,None,Arrow,Type of
70,Line,,1,,,6,3,None,Arrow,Part of
71,Line,,1,,,6,5,None,Arrow,Part of
72,Line,,1,,,4,3,None,Arrow,Part of
73,Line,,1,,,4,5,None,Arrow,Part of
74,Line,,1,,,2,3,None,Arrow,Part of
75,Line,,1,,,2,5,None,Arrow,Part of
76,Line,,1,,,11,10,None,Arrow,Part of
77,Line,,1,,,16,10,None,Arrow,Part of
78,Line,,1,,,27,10,None,Arrow,Part of
79,Terminator,Flowchart Shapes,1,,,,,,,the 'Intending' to 'Behavioural schemata' Influences relationship
80,Line,,1,,,79,27,None,Arrow,relates to
