Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Perception
3,Process,Flowchart Shapes,1,,,,,,,Impulsive system
4,Process,Flowchart Shapes,1,,,,,,,Experiential state of awareness
5,Process,Flowchart Shapes,1,,,,,,,Spreading activation
6,Process,Flowchart Shapes,1,,,,,,,Associative clusters
7,Process,Flowchart Shapes,1,,,,,,,Motivational orientation
8,Process,Flowchart Shapes,1,,,,,,,Approach 
9,Process,Flowchart Shapes,1,,,,,,,avoidance
10,Process,Flowchart Shapes,1,,,,,,,Reflective system
11,Process,Flowchart Shapes,1,,,,,,,Noetic state of awareness
12,Process,Flowchart Shapes,1,,,,,,,Relational schemata
13,Process,Flowchart Shapes,1,,,,,,,Truth values
14,Process,Flowchart Shapes,1,,,,,,,Syllogistic rules
15,Process,Flowchart Shapes,1,,,,,,,Noetic decisions
16,Process,Flowchart Shapes,1,,,,,,,Propositional representations
17,Process,Flowchart Shapes,1,,,,,,,Propositional categorisations
18,Process,Flowchart Shapes,1,,,,,,,Behavioural decision
19,Process,Flowchart Shapes,1,,,,,,,Goal
20,Process,Flowchart Shapes,1,,,,,,,Intending
21,Process,Flowchart Shapes,1,,,,,,,Arousal
22,Process,Flowchart Shapes,1,,,,,,,Behaviour
27,Process,Flowchart Shapes,1,,,,,,,Behavioural schemata
28,Process,Flowchart Shapes,1,,,,,,,Reflective system 
29,Process,Flowchart Shapes,1,,,,,,,Impulsive system
31,Process,Flowchart Shapes,1,,,,,,,Behaviour
32,Process,Flowchart Shapes,1,,,,,,,Behavioural schemata
33,Process,Flowchart Shapes,1,,,,,,,Intending
34,Process,Flowchart Shapes,1,,,,,,,Goal
35,Process,Flowchart Shapes,1,,,,,,,Spreading activation
36,Process,Flowchart Shapes,1,,,,,,,Deprivation of basic needs
37,Process,Flowchart Shapes,1,,,,,,,Motivational orientations
38,Process,Flowchart Shapes,1,,,,,,,Arousal
39,Process,Flowchart Shapes,1,,,,,,,Associative store
41,Process,Flowchart Shapes,1,,,,,,,Propositional representations
43,Process,Flowchart Shapes,1,,,,,,,Associative clusters
44,Process,Flowchart Shapes,1,,,,,,,Propositional categorisations
46,Process,Flowchart Shapes,1,,,,,,,Relational schema
47,Process,Flowchart Shapes,1,,,,,,,Truth value
49,Process,Flowchart Shapes,1,,,,,,,Relation between elements
