Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Behaviour
3,Process,Flowchart Shapes,1,,,,,,,Outcomes
4,Process,Flowchart Shapes,1,,,,,,,Cognitive evaluation
5,Process,Flowchart Shapes,1,,,,,,,Feelings
6,Process,Flowchart Shapes,1,,,,,,,Subjective probablities
7,Process,Flowchart Shapes,1,,,,,,,Anticipated outcomes
8,Process,Flowchart Shapes,1,,,,,,,Other factors
10,Process,Flowchart Shapes,1,,,,,,,Vividness
11,Process,Flowchart Shapes,1,,,,,,,Immediacy
12,Process,Flowchart Shapes,1,,,,,,,Background mood
13,Line,,1,,,2,3,None,Arrow,
14,Line,,1,,,5,2,None,Arrow,
15,Line,,1,,,4,2,None,Arrow,
16,Line,,1,,,6,5,None,Arrow,
17,Line,,1,,,6,4,None,Arrow,
18,Line,,1,,,7,4,None,Arrow,
19,Line,,1,,,7,5,None,Arrow,
20,Line,,1,,,8,5,None,Arrow,
23,Line,,1,,,4,5,None,Arrow,
24,Line,,1,,,5,4,None,Arrow,
27,Line,,1,,,10,8,None,Arrow,Type of
28,Line,,1,,,12,8,None,Arrow,Type of
29,Line,,1,,,11,8,None,Arrow,Type of
