Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Needs
3,Process,Flowchart Shapes,1,,,,,,,Autonomy 
4,Process,Flowchart Shapes,1,,,,,,,Competence
5,Process,Flowchart Shapes,1,,,,,,,Relatedness
6,Process,Flowchart Shapes,1,,,,,,,Supports
7,Process,Flowchart Shapes,1,,,,,,,Frustration of needs
8,Process,Flowchart Shapes,1,,,,,,,Satisfaction / fulfillment of needs
9,Process,Flowchart Shapes,1,,,,,,,Internalisation
10,Process,Flowchart Shapes,1,,,,,,,Introjected regulation 
11,Process,Flowchart Shapes,1,,,,,,,Identified regulation 
12,Process,Flowchart Shapes,1,,,,,,,Integrated regulation 
13,Process,Flowchart Shapes,1,,,,,,,Intrinsic regulation
14,Process,Flowchart Shapes,1,,,,,,,External regulation 
15,Process,Flowchart Shapes,1,,,,,,,Non-regulation
16,Process,Flowchart Shapes,1,,,,,,,Amotivation 
17,Process,Flowchart Shapes,1,,,,,,,Extrinsic motivation / goals 
18,Process,Flowchart Shapes,1,,,,,,,Motivation
20,Process,Flowchart Shapes,1,,,,,,,Intrinsic motivation / goals
21,Process,Flowchart Shapes,1,,,,,,,Social contexts
22,Process,Flowchart Shapes,1,,,,,,,Behaviour
24,Process,Flowchart Shapes,1,,,,,,,Thwarts
25,Process,Flowchart Shapes,1,,,,,,,Autonomous motivation
26,Process,Flowchart Shapes,1,,,,,,,Controlled motivation
30,Line,,1,,,8,9,None,Arrow,+
31,Line,,1,,,7,9,None,Arrow,-
32,Line,,1,,,2,8,None,Arrow,
33,Line,,1,,,2,7,None,Arrow,
37,Line,,1,,,9,12,None,Arrow,
38,Line,,1,,,9,11,None,Arrow,
39,Line,,1,,,9,10,None,Arrow,
40,Line,,1,,,9,14,None,Arrow,
41,Line,,1,,,13,20,None,Arrow,
46,Line,,1,,,18,22,None,Arrow,
47,Line,,1,,,8,13,None,Arrow,
48,Line,,1,,,7,15,None,Arrow,
49,Line,,1,,,6,8,None,Arrow,
50,Line,,1,,,24,7,None,Arrow,
54,Line,,1,,,15,16,None,Arrow,
55,Line,,1,,,21,2,None,Arrow,
61,Line,,1,,,10,17,None,Arrow,
62,Line,,1,,,11,17,None,Arrow,
63,Line,,1,,,12,17,None,Arrow,
64,Line,,1,,,14,17,None,Arrow,
70,Line,,1,,,17,18,None,Arrow,Type of
71,Line,,1,,,20,18,None,Arrow,Type of
72,Line,,1,,,16,18,None,Arrow,Type of
73,Line,,1,,,25,18,None,Arrow,Type of
74,Line,,1,,,26,18,None,Arrow,Type of
75,Line,,1,,,4,2,None,Arrow,Type of
76,Line,,1,,,3,2,None,Arrow,Type of
77,Line,,1,,,5,2,None,Arrow,Type of
78,Line,,1,,,13,25,None,Arrow,Type of
79,Line,,1,,,12,25,None,Arrow,Type of
80,Line,,1,,,11,25,None,Arrow,Type of
81,Line,,1,,,14,26,None,Arrow,Type of
82,Line,,1,,,10,26,None,Arrow,Type of
83,Line,,1,,,6,21,None,Arrow,Part of
84,Line,,1,,,24,21,None,Arrow,Part of
