Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Behaviour
3,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
4,Process,Flowchart Shapes,1,,,,,,,Environment
5,Process,Flowchart Shapes,1,,,,,,,Personal and cognitive factors
6,Process,Flowchart Shapes,1,,,,,,,Self-reflective capability
7,Process,Flowchart Shapes,1,,,,,,,Self-regulatory capability
8,Process,Flowchart Shapes,1,,,,,,,Vicarious learning capability
9,Process,Flowchart Shapes,1,,,,,,,Forethought capability
10,Process,Flowchart Shapes,1,,,,,,,Symbolising capability
11,Process,Flowchart Shapes,1,,,,,,,Outcome expectations
12,Line,,1,,,3,2,None,Arrow,+
13,Line,,1,,,4,2,None,Arrow,
14,Line,,1,,,5,2,None,Arrow,
15,Line,,1,,,2,4,None,Arrow,
16,Line,,1,,,2,5,None,Arrow,
17,Line,,1,,,3,6,None,Arrow,Part of
18,Line,,1,,,6,5,None,Arrow,Type of
19,Line,,1,,,7,5,None,Arrow,Type of
20,Line,,1,,,8,5,None,Arrow,Type of
21,Line,,1,,,8,7,None,Arrow,+
22,Line,,1,,,9,5,None,Arrow,Type of
23,Line,,1,,,10,5,None,Arrow,Type of
24,Line,,1,,,10,9,None,Arrow,+
25,Line,,1,,,11,9,None,Arrow,Part of
26,Line,,1,,,11,7,None,Arrow,+
27,Line,,1,,,5,4,None,Arrow,
28,Line,,1,,,4,5,None,Arrow,
29,Line,,1,,,7,3,None,Arrow,+
