Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Delinquent / non-delinquent Behaviour
3,Process,Flowchart Shapes,1,,,,,,,Social Bonding
5,Process,Flowchart Shapes,1,,,,,,, Belief (prosocial / antisocial)
6,Process,Flowchart Shapes,1,,,,,,, Attachment (prosocial / antisocial)
7,Process,Flowchart Shapes,1,,,,,,, Commitment (prosocial / antisocial)
8,Process,Flowchart Shapes,1,,,,,,, Involvement (prosocial / antisocial)
9,Process,Flowchart Shapes,1,,,,,,,Skills for Involvement
10,Process,Flowchart Shapes,1,,,,,,,Reinforcement for  involvement (prosocial / antisocial)
12,Process,Flowchart Shapes,1,,,,,,,Opportunities for  involvement (prosocial / antisocial)
13,Process,Flowchart Shapes,1,,,,,,,Sex
14,Process,Flowchart Shapes,1,,,,,,,SES
15,Process,Flowchart Shapes,1,,,,,,,Race
16,Process,Flowchart Shapes,1,,,,,,,School
17,Process,Flowchart Shapes,1,,,,,,,Family
18,Process,Flowchart Shapes,1,,,,,,,Peers
20,Process,Flowchart Shapes,1,,,,,,,Units of Socialisation
21,Process,Flowchart Shapes,1,,,,,,,Communities
22,Process,Flowchart Shapes,1,,,,,,,External constraints
23,Process,Flowchart Shapes,1,,,,,,,Position in the social structure
25,Process,Flowchart Shapes,1,,,,,,,Constitutional factors
30,Line,,1,,,3,2,None,Arrow,
31,Line,,1,,,8,3,None,Arrow,
40,Line,,1,,,20,2,None,Arrow,
42,Line,,1,,,20,9,None,Arrow,
43,Line,,1,,,20,12,None,Arrow,
44,Line,,1,,,22,2,None,Arrow,
49,Line,,1,,,20,10,None,Arrow,
50,Line,,1,,,23,12,None,Arrow,
51,Line,,1,,,25,10,None,Arrow,
52,Line,,1,,,25,12,None,Arrow,
53,Line,,1,,,20,3,None,Arrow,
54,Line,,1,,,3,20,None,Arrow,
55,Line,,1,,,7,3,None,Arrow,Part of
56,Line,,1,,,5,3,None,Arrow,Part of
57,Line,,1,,,6,3,None,Arrow,Part of
58,Line,,1,,,9,8,None,Arrow,*
59,Line,,1,,,10,8,None,Arrow,*
60,Line,,1,,,12,8,None,Arrow,*
61,Line,,1,,,16,20,None,Arrow,Type of
62,Line,,1,,,17,20,None,Arrow,Type of
63,Line,,1,,,18,20,None,Arrow,Type of
64,Line,,1,,,21,20,None,Arrow,Type of
65,Line,,1,,,13,23,None,Arrow,Part of
66,Line,,1,,,14,23,None,Arrow,Part of
67,Line,,1,,,15,23,None,Arrow,Part of
