Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Attitudes
3,Process,Flowchart Shapes,1,,,,,,,Social norms
4,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
5,Process,Flowchart Shapes,1,,,,,,,Behavioural beliefs and their evaluative aspects
6,Process,Flowchart Shapes,1,,,,,,,Normative beliefs and motivation to change
7,Process,Flowchart Shapes,1,,,,,,,Efficacy beliefs
8,Process,Flowchart Shapes,1,,,,,,,Intention to change
9,Process,Flowchart Shapes,1,,,,,,,Behaviour change
10,Process,Flowchart Shapes,1,,,,,,,Social ecology
11,Process,Flowchart Shapes,1,,,,,,,Enabling factors
12,Process,Flowchart Shapes,1,,,,,,,Local and external investment 
13,Process,Flowchart Shapes,1,,,,,,,Constraints on agency
14,Process,Flowchart Shapes,1,,,,,,,Time
15,Process,Flowchart Shapes,1,,,,,,,Economic
16,Process,Flowchart Shapes,1,,,,,,,Social
17,Process,Flowchart Shapes,1,,,,,,,Physcial
19,Process,Flowchart Shapes,1,,,,,,,Political and financial commitments
20,Process,Flowchart Shapes,1,,,,,,,Community priorities
21,Process,Flowchart Shapes,1,,,,,,,Organisational support
22,Process,Flowchart Shapes,1,,,,,,,Skills
23,Process,Flowchart Shapes,1,,,,,,,Abilities
24,Process,Flowchart Shapes,1,,,,,,,Trigger for change
25,Process,Flowchart Shapes,1,,,,,,,Health impact
26,Process,Flowchart Shapes,1,,,,,,,Sustainability
27,Process,Flowchart Shapes,1,,,,,,,Culturally acceptable intervention
28,Process,Flowchart Shapes,1,,,,,,,Culturally compelling intervention
31,Process,Flowchart Shapes,1,,,,,,,Effective intervention
39,Line,,1,,,2,8,None,Arrow,
40,Line,,1,,,8,108,None,Arrow,relates through
57,Line,,1,,,10,108,None,Arrow,
58,Line,,1,,,24,108,None,Arrow,
59,Line,,1,,,9,25,None,Arrow,
60,Line,,1,,,26,25,None,Arrow,
61,Line,,1,,,26,9,None,Arrow,
72,Line,,1,,,3,8,None,Arrow,
73,Line,,1,,,4,8,None,Arrow,
77,Line,,1,,,7,6,None,Arrow,
78,Line,,1,,,25,5,None,Arrow,
79,Line,,1,,,25,6,None,Arrow,
80,Line,,1,,,25,7,None,Arrow,
85,Line,,1,,,11,10,None,Arrow,Part of
86,Line,,1,,,12,10,None,Arrow,Part of
87,Line,,1,,,13,10,None,Arrow,Part of
88,Line,,1,,,2,27,None,Arrow,Part of
89,Line,,1,,,3,27,None,Arrow,Part of
90,Line,,1,,,4,27,None,Arrow,Part of
91,Line,,1,,,8,28,None,Arrow,Part of
92,Line,,1,,,9,28,None,Arrow,Part of
93,Line,,1,,,24,28,None,Arrow,Part of
94,Line,,1,,,25,31,None,Arrow,Part of
95,Line,,1,,,26,31,None,Arrow,Part of
96,Line,,1,,,5,2,None,Arrow,Part of
97,Line,,1,,,6,3,None,Arrow,Part of
98,Line,,1,,,7,4,None,Arrow,Part of
99,Line,,1,,,17,13,None,Arrow,Type of
100,Line,,1,,,16,13,None,Arrow,Type of
101,Line,,1,,,15,13,None,Arrow,Type of
102,Line,,1,,,14,13,None,Arrow,Type of
103,Line,,1,,,21,12,None,Arrow,Type of
104,Line,,1,,,20,12,None,Arrow,Type of
105,Line,,1,,,19,12,None,Arrow,Type of
106,Line,,1,,,22,11,None,Arrow,Type of
107,Line,,1,,,23,11,None,Arrow,Type of
108,Terminator,Flowchart Shapes,1,,,,,,,the 'Intention to change' to 'Behaviour change' Influences relationship
109,Line,,1,,,108,9,None,Arrow,relates to
