Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
3,Process,Flowchart Shapes,1,,,,,,,Feasibility 
4,Process,Flowchart Shapes,1,,,,,,,Accessibility
5,Process,Flowchart Shapes,1,,,,,,,Safety
6,Process,Flowchart Shapes,1,,,,,,,Comfort
7,Process,Flowchart Shapes,1,,,,,,,Pleasurability
9,Process,Flowchart Shapes,1,,,,,,,Antecedents / environmental factors 
10,Process,Flowchart Shapes,1,,,,,,,Walking
11,Process,Flowchart Shapes,1,,,,,,,Affordances / perceived environmental factors
12,Process,Flowchart Shapes,1,,,,,,,Motivations
13,Process,Flowchart Shapes,1,,,,,,,Habits
14,Process,Flowchart Shapes,1,,,,,,,Perceptions
15,Process,Flowchart Shapes,1,,,,,,,Life cycle circumstances
16,Process,Flowchart Shapes,1,,,,,,,Individual level
17,Process,Flowchart Shapes,1,,,,,,,Group level  
18,Process,Flowchart Shapes,1,,,,,,,Regional level
19,Process,Flowchart Shapes,1,,,,,,,Type
20,Process,Flowchart Shapes,1,,,,,,,Duration
22,Process,Flowchart Shapes,1,,,,,,,Hierarchy of walking needs
24,Line,,1,,,3,4,None,Arrow,
25,Line,,1,,,4,5,None,Arrow,
26,Line,,1,,,5,6,None,Arrow,
27,Line,,1,,,6,7,None,Arrow,
34,Line,,1,,,14,61,None,Arrow,
35,Line,,1,,,12,61,None,Arrow,
36,Line,,1,,,13,61,None,Arrow,
37,Line,,1,,,9,61,None,Arrow,relates through
38,Line,,1,,,11,63,None,Arrow,relates through
43,Line,,1,,,15,63,None,Arrow,
44,Line,,1,,,15,61,None,Arrow,
50,Line,,1,,,16,15,None,Arrow,Type of
51,Line,,1,,,17,15,None,Arrow,Type of
52,Line,,1,,,18,15,None,Arrow,Type of
53,Line,,1,,,3,22,None,Arrow,Part of
54,Line,,1,,,4,22,None,Arrow,Part of
55,Line,,1,,,5,22,None,Arrow,Part of
56,Line,,1,,,6,22,None,Arrow,Part of
57,Line,,1,,,7,22,None,Arrow,Part of
58,Line,,1,,,20,10,None,Arrow,Part of
59,Line,,1,,,19,10,None,Arrow,Part of
60,Line,,1,,,22,9,None,Arrow,Part of
61,Terminator,Flowchart Shapes,1,,,,,,,the 'Antecedents / environmental factors ' to 'Affordances / perceived environmental factors' Influences relationship
62,Line,,1,,,61,11,None,Arrow,relates to
63,Terminator,Flowchart Shapes,1,,,,,,,the 'Affordances / perceived environmental factors' to 'Walking' Influences relationship
64,Line,,1,,,63,10,None,Arrow,relates to
