Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Behaviour
3,Process,Flowchart Shapes,1,,,,,,,Purposive value
4,Process,Flowchart Shapes,1,,,,,,,Informational value
5,Process,Flowchart Shapes,1,,,,,,,Instrumental value
7,Process,Flowchart Shapes,1,,,,,,,Value perception / motives
9,Process,Flowchart Shapes,1,,,,,,,Self-discovery
10,Process,Flowchart Shapes,1,,,,,,,Self-referent values
12,Process,Flowchart Shapes,1,,,,,,,Group-referent values
14,Process,Flowchart Shapes,1,,,,,,,Maintaining interpersonal connectivity
15,Process,Flowchart Shapes,1,,,,,,,Social enhancement
16,Process,Flowchart Shapes,1,,,,,,,Entertainment value
17,Process,Flowchart Shapes,1,,,,,,,Identification
18,Process,Flowchart Shapes,1,,,,,,,Internalisation
20,Process,Flowchart Shapes,1,,,,,,,Social influences
21,Process,Flowchart Shapes,1,,,,,,,Social identity
22,Process,Flowchart Shapes,1,,,,,,,Cognitive
23,Process,Flowchart Shapes,1,,,,,,,Affective
24,Process,Flowchart Shapes,1,,,,,,,Evaluative
26,Process,Flowchart Shapes,1,,,,,,,Group norms
27,Process,Flowchart Shapes,1,,,,,,,Mutual agreement
28,Process,Flowchart Shapes,1,,,,,,,Mutual accommodation
29,Process,Flowchart Shapes,1,,,,,,,Desires
30,Process,Flowchart Shapes,1,,,,,,,We-intentions
31,Process,Flowchart Shapes,1,,,,,,,Decision-making and participation
33,Process,Flowchart Shapes,1,,,,,,,Network-based virtual communities
34,Process,Flowchart Shapes,1,,,,,,,Small-group-based virtual communitites
36,Process,Flowchart Shapes,1,,,,,,,Community
55,Line,,1,,,7,26,Arrow,Arrow,
57,Line,,1,,,26,21,Arrow,Arrow,
58,Line,,1,,,27,125,None,Arrow,+
59,Line,,1,,,28,125,None,Arrow,+
60,Line,,1,,,26,125,None,Arrow,relates through
61,Line,,1,,,29,30,None,Arrow,+
62,Line,,1,,,27,26,Arrow,Arrow,Correlation
63,Line,,1,,,28,26,Arrow,Arrow,Correlation
64,Line,,1,,,21,29,None,Arrow,+
65,Line,,1,,,30,2,None,Arrow,
66,Line,,1,,,26,30,None,Arrow,+
67,Line,,1,,,21,30,None,Arrow,+
68,Line,,1,,,20,2,None,Arrow,
72,Line,,1,,,10,127,None,Arrow,relates through
76,Line,,1,,,36,127,None,Arrow,
86,Line,,1,,,12,129,None,Arrow,relates through
87,Line,,1,,,36,129,None,Arrow,
89,Line,,1,,,4,3,None,Arrow,Part of
90,Line,,1,,,5,3,None,Arrow,Part of
91,Line,,1,,,3,21,None,Arrow,Type of
92,Line,,1,,,3,7,None,Arrow,Type of
93,Line,,1,,,9,21,None,Arrow,Type of
94,Line,,1,,,9,7,None,Arrow,Type of
95,Line,,1,,,15,21,None,Arrow,Type of
96,Line,,1,,,15,7,None,Arrow,Type of
97,Line,,1,,,16,21,None,Arrow,Type of
98,Line,,1,,,16,7,None,Arrow,Type of
99,Line,,1,,,14,21,None,Arrow,Type of
100,Line,,1,,,14,7,None,Arrow,Type of
101,Line,,1,,,3,10,None,Arrow,Part of
102,Line,,1,,,9,10,None,Arrow,Part of
103,Line,,1,,,15,12,None,Arrow,Part of
104,Line,,1,,,14,12,None,Arrow,Part of
105,Line,,1,,,17,20,None,Arrow,Part of
106,Line,,1,,,17,20,None,Arrow,Part of
107,Line,,1,,,18,20,None,Arrow,Part of
108,Line,,1,,,18,20,None,Arrow,Part of
109,Line,,1,,,26,20,None,Arrow,Part of
110,Line,,1,,,26,20,None,Arrow,Part of
111,Line,,1,,,27,20,None,Arrow,Part of
112,Line,,1,,,27,20,None,Arrow,Part of
113,Line,,1,,,28,20,None,Arrow,Part of
114,Line,,1,,,28,20,None,Arrow,Part of
115,Line,,1,,,21,20,None,Arrow,Part of
116,Line,,1,,,21,20,None,Arrow,Part of
117,Line,,1,,,22,21,None,Arrow,Part of
118,Line,,1,,,24,21,None,Arrow,Part of
119,Line,,1,,,23,21,None,Arrow,Part of
120,Line,,1,,,2,31,None,Arrow,Part of
121,Line,,1,,,30,31,None,Arrow,Part of
122,Line,,1,,,29,31,None,Arrow,Part of
123,Line,,1,,,34,36,None,Arrow,Part of
124,Line,,1,,,33,36,None,Arrow,Part of
125,Terminator,Flowchart Shapes,1,,,,,,,the 'Group norms' to 'Desires' Influences relationship
126,Line,,1,,,125,29,None,Arrow,relates to
127,Terminator,Flowchart Shapes,1,,,,,,,the 'Self-referent values' to 'Social influences' Influences relationship
128,Line,,1,,,127,20,None,Arrow,relates to
129,Terminator,Flowchart Shapes,1,,,,,,,the 'Group-referent values' to 'Social influences' Influences relationship
130,Line,,1,,,129,20,None,Arrow,relates to
