Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Drive
3,Process,Flowchart Shapes,1,,,,,,,Cue
5,Process,Flowchart Shapes,1,,,,,,,Innate drives
6,Process,Flowchart Shapes,1,,,,,,,Acquired drives
7,Process,Flowchart Shapes,1,,,,,,,Response
8,Process,Flowchart Shapes,1,,,,,,,Extinction
9,Process,Flowchart Shapes,1,,,,,,,Spontaneous recovery
10,Process,Flowchart Shapes,1,,,,,,,Generalisation
11,Process,Flowchart Shapes,1,,,,,,,Discrimination
12,Process,Flowchart Shapes,1,,,,,,,Anticipatory response
13,Process,Flowchart Shapes,1,,,,,,,Same behaviour
14,Process,Flowchart Shapes,1,,,,,,,Matched-dependent behaviour
15,Process,Flowchart Shapes,1,,,,,,,Copying
16,Process,Flowchart Shapes,1,,,,,,,Reward
18,Process,Flowchart Shapes,1,,,,,,,Innate rewards
19,Process,Flowchart Shapes,1,,,,,,,Acquired rewards
22,Process,Flowchart Shapes,1,,,,,,,Gradient of reward
23,Process,Flowchart Shapes,1,,,,,,,Imitation
29,Line,,1,,,23,7,None,Arrow,
35,Line,,1,,,2,7,None,Arrow,
40,Line,,1,,,8,9,None,Arrow,Transition
41,Line,,1,,,9,7,None,Arrow,
44,Line,,1,,,11,3,None,Arrow,
46,Line,,1,,,10,3,None,Arrow,
48,Line,,1,,,22,16,None,Arrow,
49,Line,,1,,,10,12,None,Arrow,
50,Line,,1,,,8,7,None,Arrow,-
51,Line,,1,,,9,7,None,Arrow,+
52,Line,,1,,,12,22,Arrow,Arrow,Correlation
53,Line,,1,,,5,2,Arrow,Arrow,Type of
54,Line,,1,,,6,2,Arrow,Arrow,Type of
55,Line,,1,,,18,16,Arrow,Arrow,Type of
56,Line,,1,,,19,16,Arrow,Arrow,Type of
57,Line,,1,,,7,2,Arrow,Arrow,*
58,Line,,1,,,7,7,Arrow,Arrow,*
59,Line,,1,,,7,8,Arrow,Arrow,*
60,Line,,1,,,7,11,Arrow,Arrow,*
61,Line,,1,,,7,10,Arrow,Arrow,*
62,Line,,1,,,7,22,Arrow,Arrow,*
63,Line,,1,,,16,2,Arrow,Arrow,*
64,Line,,1,,,16,7,Arrow,Arrow,*
65,Line,,1,,,16,8,Arrow,Arrow,*
66,Line,,1,,,16,11,Arrow,Arrow,*
67,Line,,1,,,16,10,Arrow,Arrow,*
68,Line,,1,,,16,22,Arrow,Arrow,*
69,Line,,1,,,14,23,Arrow,Arrow,Type of
70,Line,,1,,,13,23,Arrow,Arrow,Type of
71,Line,,1,,,15,23,Arrow,Arrow,Type of
