Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,External antecedent condition
3,Process,Flowchart Shapes,1,,,,,,,Personal  antecedent condition
4,Process,Flowchart Shapes,1,,,,,,,Socio-psychological condition
5,Process,Flowchart Shapes,1,,,,,,,Behavioural condition
7,Process,Flowchart Shapes,1,,,,,,,Parental and hereditary / genetic process
8,Process,Flowchart Shapes,1,,,,,,,Socio-cultural environmental milieu 
9,Process,Flowchart Shapes,1,,,,,,,Personal demographic dynamics
10,Process,Flowchart Shapes,1,,,,,,,Personal socialisation process
11,Process,Flowchart Shapes,1,,,,,,,Personal health dynamics
12,Process,Flowchart Shapes,1,,,,,,,Perception of self
13,Process,Flowchart Shapes,1,,,,,,,Perception of social influence
14,Process,Flowchart Shapes,1,,,,,,,Perception of health status
15,Process,Flowchart Shapes,1,,,,,,,Perception of environmental factors
16,Process,Flowchart Shapes,1,,,,,,,Intention formation process
17,Process,Flowchart Shapes,1,,,,,,,Behavioural repertoire
18,Process,Flowchart Shapes,1,,,,,,,Behaviour change / maintenance
19,Process,Flowchart Shapes,1,,,,,,,Attitudinal variables
20,Process,Flowchart Shapes,1,,,,,,,Motivation to comply
21,Process,Flowchart Shapes,1,,,,,,,Health beliefs
22,Process,Flowchart Shapes,1,,,,,,,Beliefs about incentives / barriers for health behaviour
23,Process,Flowchart Shapes,1,,,,,,,Skills / behaviours
24,Process,Flowchart Shapes,1,,,,,,,Health behaviours
25,Process,Flowchart Shapes,1,,,,,,,Personal demographic characteristics
26,Process,Flowchart Shapes,1,,,,,,,"Birthdate, sex"
27,Process,Flowchart Shapes,1,,,,,,,Family structure
28,Process,Flowchart Shapes,1,,,,,,,Basic physiological make-up
29,Process,Flowchart Shapes,1,,,,,,,Health environmental factors
30,Process,Flowchart Shapes,1,,,,,,,Social influences
34,Process,Flowchart Shapes,1,,,,,,,Health intention
37,Process,Flowchart Shapes,1,,,,,,,Health status
67,Line,,1,,,26,9,None,Arrow,
68,Line,,1,,,9,25,None,Arrow,
69,Line,,1,,,10,30,None,Arrow,
70,Line,,1,,,11,37,None,Arrow,
71,Line,,1,,,28,11,None,Arrow,
72,Line,,1,,,25,10,None,Arrow,
73,Line,,1,,,7,28,None,Arrow,
74,Line,,1,,,29,15,None,Arrow,
75,Line,,1,,,12,13,None,Arrow,
76,Line,,1,,,13,12,None,Arrow,
77,Line,,1,,,14,13,None,Arrow,
78,Line,,1,,,13,14,None,Arrow,
79,Line,,1,,,14,15,None,Arrow,
80,Line,,1,,,15,14,None,Arrow,
81,Line,,1,,,14,21,None,Arrow,
82,Line,,1,,,21,16,None,Arrow,
83,Line,,1,,,37,14,None,Arrow,
84,Line,,1,,,30,13,None,Arrow,
85,Line,,1,,,13,20,None,Arrow,
86,Line,,1,,,20,16,None,Arrow,
87,Line,,1,,,12,19,None,Arrow,
88,Line,,1,,,19,16,None,Arrow,
96,Line,,1,,,28,25,None,Arrow,
97,Line,,1,,,24,11,None,Arrow,
98,Line,,1,,,25,12,None,Arrow,
99,Line,,1,,,17,12,None,Arrow,
100,Line,,1,,,15,22,None,Arrow,
101,Line,,1,,,22,16,None,Arrow,
102,Line,,1,,,16,34,None,Arrow,
105,Line,,1,,,17,142,None,Arrow,
106,Line,,1,,,34,142,None,Arrow,relates through
107,Line,,1,,,18,24,None,Arrow,
108,Line,,1,,,24,17,None,Arrow,
109,Line,,1,,,24,8,None,Arrow,
110,Line,,1,,,27,10,None,Arrow,
111,Line,,1,,,11,24,None,Arrow,
112,Line,,1,,,17,24,None,Arrow,
113,Line,,1,,,8,24,None,Arrow,
114,Line,,1,,,7,2,None,Arrow,Part of
115,Line,,1,,,8,2,None,Arrow,Part of
116,Line,,1,,,28,2,None,Arrow,Part of
117,Line,,1,,,26,2,None,Arrow,Part of
118,Line,,1,,,27,2,None,Arrow,Part of
119,Line,,1,,,29,2,None,Arrow,Part of
120,Line,,1,,,9,3,None,Arrow,Part of
121,Line,,1,,,25,3,None,Arrow,Part of
122,Line,,1,,,10,3,None,Arrow,Part of
123,Line,,1,,,30,3,None,Arrow,Part of
124,Line,,1,,,37,3,None,Arrow,Part of
125,Line,,1,,,11,3,None,Arrow,Part of
126,Line,,1,,,12,4,None,Arrow,Part of
127,Line,,1,,,19,4,None,Arrow,Part of
128,Line,,1,,,20,4,None,Arrow,Part of
129,Line,,1,,,13,4,None,Arrow,Part of
130,Line,,1,,,14,4,None,Arrow,Part of
131,Line,,1,,,21,4,None,Arrow,Part of
132,Line,,1,,,15,4,None,Arrow,Part of
133,Line,,1,,,22,4,None,Arrow,Part of
134,Line,,1,,,16,4,None,Arrow,Part of
135,Line,,1,,,34,4,None,Arrow,Part of
136,Line,,1,,,17,5,None,Arrow,Part of
137,Line,,1,,,18,5,None,Arrow,Part of
138,Line,,1,,,26,7,None,Arrow,Part of
139,Line,,1,,,27,7,None,Arrow,Part of
140,Line,,1,,,28,7,None,Arrow,Part of
141,Line,,1,,,23,17,None,Arrow,Part of
142,Terminator,Flowchart Shapes,1,,,,,,,the 'Health intention' to 'Behaviour change / maintenance' Influences relationship
143,Line,,1,,,142,18,None,Arrow,relates to
