Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Awareness of mortality
3,Process,Flowchart Shapes,1,,,,,,,Desire for continued life
4,Process,Flowchart Shapes,1,,,,,,,Potential terror
6,Process,Flowchart Shapes,1,,,,,,,Need for faith in cultural worldview 
7,Process,Flowchart Shapes,1,,,,,,,Need for self-esteem 
8,Process,Flowchart Shapes,1,,,,,,,Social behaviour
9,Process,Flowchart Shapes,1,,,,,,,Reduced potential for terror and anxiety
13,Line,,1,,,4,7,None,Arrow,+
14,Line,,1,,,4,6,None,Arrow,+
15,Line,,1,,,6,8,None,Arrow,
16,Line,,1,,,7,8,None,Arrow,
17,Line,,1,,,8,9,None,Arrow,
18,Line,,1,,,2,4,None,Arrow,*
19,Line,,1,,,3,4,None,Arrow,*
