Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Behaviour
3,Process,Flowchart Shapes,1,,,,,,,Normative mechanisms
4,Process,Flowchart Shapes,1,,,,,,,Group identity
5,Process,Flowchart Shapes,1,,,,,,,Social approval
6,Process,Flowchart Shapes,1,,,,,,,Benefits to others
8,Process,Flowchart Shapes,1,,,,,,,Injunctive norms
9,Process,Flowchart Shapes,1,,,,,,,Descriptive norms
10,Process,Flowchart Shapes,1,,,,,,,Norms
12,Process,Flowchart Shapes,1,,,,,,,Outcome expectations
14,Process,Flowchart Shapes,1,,,,,,,Benefits to oneself
15,Process,Flowchart Shapes,1,,,,,,,Anticipatory socialisation
17,Process,Flowchart Shapes,1,,,,,,,Similarity
18,Process,Flowchart Shapes,1,,,,,,,Aspirations
19,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
20,Process,Flowchart Shapes,1,,,,,,,External monitoring
21,Process,Flowchart Shapes,1,,,,,,,Issue familiarity
22,Process,Flowchart Shapes,1,,,,,,,Interpersonal communication
33,Line,,1,,,9,54,None,Arrow,relates through
34,Line,,1,,,3,54,None,Arrow,+
35,Line,,1,,,19,54,None,Arrow,+
36,Line,,1,,,20,54,None,Arrow,+
37,Line,,1,,,21,54,None,Arrow,+
39,Line,,1,,,5,8,None,Arrow,
43,Line,,1,,,22,54,None,Arrow,+
44,Line,,1,,,8,10,None,Arrow,Type of
45,Line,,1,,,9,10,None,Arrow,Type of
46,Line,,1,,,4,3,None,Arrow,Type of
47,Line,,1,,,12,3,None,Arrow,Type of
48,Line,,1,,,8,3,None,Arrow,Type of
49,Line,,1,,,6,12,None,Arrow,Type of
50,Line,,1,,,14,12,None,Arrow,Type of
51,Line,,1,,,15,12,None,Arrow,Type of
52,Line,,1,,,17,4,None,Arrow,Part of
53,Line,,1,,,18,4,None,Arrow,Part of
54,Terminator,Flowchart Shapes,1,,,,,,,the 'Descriptive norms' to 'Behaviour' Influences relationship
55,Line,,1,,,54,2,None,Arrow,relates to
