Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Intention
3,Process,Flowchart Shapes,1,,,,,,,Subjective norms
4,Process,Flowchart Shapes,1,,,,,,,Attitude to the behaviour
5,Process,Flowchart Shapes,1,,,,,,,Perceived behavioural control
6,Process,Flowchart Shapes,1,,,,,,,Outcome evaluation
7,Process,Flowchart Shapes,1,,,,,,,Behavioural belief strength
8,Process,Flowchart Shapes,1,,,,,,,Behaviour
9,Process,Flowchart Shapes,1,,,,,,,Behavioural belief
10,Process,Flowchart Shapes,1,,,,,,,Behavioural belief composite
11,Process,Flowchart Shapes,1,,,,,,,Normative beliefs composite
12,Process,Flowchart Shapes,1,,,,,,,Control beliefs compoosite
13,Process,Flowchart Shapes,1,,,,,,,Motivation to comply
14,Process,Flowchart Shapes,1,,,,,,,Normative belief strength
15,Process,Flowchart Shapes,1,,,,,,,Normative belief
16,Process,Flowchart Shapes,1,,,,,,,Power of control factor
17,Process,Flowchart Shapes,1,,,,,,,Control belief strength
18,Process,Flowchart Shapes,1,,,,,,,Control belief
19,Process,Flowchart Shapes,1,,,,,,,Actual behavioural control
20,Line,,1,,,3,2,None,Arrow,+
21,Line,,1,,,4,2,None,Arrow,+
22,Line,,1,,,5,2,None,Arrow,+
23,Line,,1,,,4,3,None,Arrow,
24,Line,,1,,,3,4,None,Arrow,
25,Line,,1,,,3,45,None,Arrow,
26,Line,,1,,,5,45,None,Arrow,relates through
27,Line,,1,,,4,5,None,Arrow,
28,Line,,1,,,5,4,None,Arrow,
29,Line,,1,,,2,47,None,Arrow,relates through
30,Line,,1,,,5,47,None,Arrow,+
31,Line,,1,,,6,9,None,Arrow,*
32,Line,,1,,,7,9,None,Arrow,*
33,Line,,1,,,9,10,None,Arrow,Sum
34,Line,,1,,,10,4,None,Arrow,+
35,Line,,1,,,11,3,None,Arrow,+
36,Line,,1,,,12,5,None,Arrow,+
37,Line,,1,,,13,15,None,Arrow,*
38,Line,,1,,,14,15,None,Arrow,*
39,Line,,1,,,15,11,None,Arrow,Sum
40,Line,,1,,,16,18,None,Arrow,*
41,Line,,1,,,17,18,None,Arrow,*
42,Line,,1,,,18,12,None,Arrow,Sum
43,Line,,1,,,19,5,None,Arrow,+
44,Line,,1,,,19,47,None,Arrow,+
45,Terminator,Flowchart Shapes,1,,,,,,,the 'Perceived behavioural control' to 'Subjective norms' Influences relationship
46,Line,,1,,,45,3,None,Arrow,relates to
47,Terminator,Flowchart Shapes,1,,,,,,,the 'Intention' to 'Behaviour' Positively influences relationship
48,Line,,1,,,47,8,None,Arrow,relates to
