Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Untitled Page
2,Process,Flowchart Shapes,1,,,,,,,Physical capability 
3,Process,Flowchart Shapes,1,,,,,,,Psychological capability
4,Process,Flowchart Shapes,1,,,,,,,Reflective motivation
5,Process,Flowchart Shapes,1,,,,,,,Automatic motivation
6,Process,Flowchart Shapes,1,,,,,,,Physical opportunity 
7,Process,Flowchart Shapes,1,,,,,,,Social opportunity 
8,Process,Flowchart Shapes,1,,,,,,,Behaviour
9,Process,Flowchart Shapes,1,,,,,,,Capability
10,Process,Flowchart Shapes,1,,,,,,,Motivation
11,Process,Flowchart Shapes,1,,,,,,,Opportunity
20,Line,,1,,,7,37,None,Arrow,
24,Line,,1,,,10,8,None,Arrow,
25,Line,,1,,,11,8,None,Arrow,
26,Line,,1,,,9,8,None,Arrow,
27,Line,,1,,,8,9,None,Arrow,
28,Line,,1,,,8,11,None,Arrow,
29,Line,,1,,,8,10,None,Arrow,
30,Line,,1,,,11,10,None,Arrow,
31,Line,,1,,,9,10,None,Arrow,
32,Line,,1,,,2,9,None,Arrow,Type of
33,Line,,1,,,3,9,None,Arrow,Type of
34,Line,,1,,,4,10,None,Arrow,Type of
35,Line,,1,,,5,10,None,Arrow,Type of
36,Line,,1,,,6,37,None,Arrow,relates through
37,Terminator,Flowchart Shapes,1,,,,,,,the 'Physical opportunity ' to 'Opportunity' Type of relationship
38,Line,,1,,,37,11,None,Arrow,relates to
