Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Perceived autonomy support 
3,Process,Flowchart Shapes,1,,,,,,,Behaviour
5,Process,Flowchart Shapes,1,,,,,,,External regulation
6,Process,Flowchart Shapes,1,,,,,,,Introjected regulation
7,Process,Flowchart Shapes,1,,,,,,,Identified regulation
8,Process,Flowchart Shapes,1,,,,,,,Intrinsic motivation
9,Process,Flowchart Shapes,1,,,,,,,Attitudes
10,Process,Flowchart Shapes,1,,,,,,,Intentions
11,Process,Flowchart Shapes,1,,,,,,,Subjective norms
12,Process,Flowchart Shapes,1,,,,,,,Perceived behavioural control
13,Process,Flowchart Shapes,1,,,,,,, Perceived locus of causality
18,Line,,1,,,2,13,None,Arrow,
19,Line,,1,,,13,9,None,Arrow,
20,Line,,1,,,9,10,None,Arrow,+
21,Line,,1,,,12,10,None,Arrow,+
22,Line,,1,,,7,9,None,Arrow,+
23,Line,,1,,,8,9,None,Arrow,+
24,Line,,1,,,5,11,None,Arrow,+
25,Line,,1,,,6,11,None,Arrow,+
26,Line,,1,,,10,3,None,Arrow,
27,Line,,1,,,11,10,None,Arrow,
29,Line,,1,,,13,12,None,Arrow,
30,Line,,1,,,13,11,None,Arrow,
31,Line,,1,,,8,12,None,Arrow,+
32,Line,,1,,,7,12,None,Arrow,+
33,Line,,1,,,5,13,None,Arrow,Part of
34,Line,,1,,,6,13,None,Arrow,Part of
35,Line,,1,,,7,13,None,Arrow,Part of
36,Line,,1,,,8,13,None,Arrow,Part of
