Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Stage of change
3,Process,Flowchart Shapes,1,,,,,,,Precontemplation
4,Process,Flowchart Shapes,1,,,,,,,Contemplation
5,Process,Flowchart Shapes,1,,,,,,,Preparation
6,Process,Flowchart Shapes,1,,,,,,,Action
7,Process,Flowchart Shapes,1,,,,,,,Maintenance
8,Process,Flowchart Shapes,1,,,,,,,Contemplation preparation transition
9,Process,Flowchart Shapes,1,,,,,,,Preparation action transition
10,Process,Flowchart Shapes,1,,,,,,,Precontemplation contemplation transition
11,Process,Flowchart Shapes,1,,,,,,,Action maintenance transition
12,Process,Flowchart Shapes,1,,,,,,,Decisional balance
13,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
14,Process,Flowchart Shapes,1,,,,,,,Temptation
15,Process,Flowchart Shapes,1,,,,,,,Consciousness-raising
16,Process,Flowchart Shapes,1,,,,,,,Dramatic relief/emotional arousal
17,Process,Flowchart Shapes,1,,,,,,,Self re-evaluation
18,Process,Flowchart Shapes,1,,,,,,,Environmental re-evaluation
19,Process,Flowchart Shapes,1,,,,,,,Social liberation
20,Process,Flowchart Shapes,1,,,,,,,Self-liberation
21,Process,Flowchart Shapes,1,,,,,,,Stimulus control
22,Process,Flowchart Shapes,1,,,,,,,Helping relationships
23,Process,Flowchart Shapes,1,,,,,,,Counter-conditioning
24,Process,Flowchart Shapes,1,,,,,,,Reinforcement management
25,Process,Flowchart Shapes,1,,,,,,,Self-efficacy temptation combination
26,Line,,1,,,3,2,None,Arrow,Value of
27,Line,,1,,,4,2,None,Arrow,Value of
28,Line,,1,,,5,2,None,Arrow,Value of
29,Line,,1,,,6,2,None,Arrow,Value of
30,Line,,1,,,10,3,None,Arrow,Has start
31,Line,,1,,,10,4,None,Arrow,Has end
32,Line,,1,,,8,4,None,Arrow,Has start
33,Line,,1,,,9,5,None,Arrow,Has start
34,Line,,1,,,11,6,None,Arrow,Has start
35,Line,,1,,,8,5,None,Arrow,Has end
36,Line,,1,,,9,6,None,Arrow,Has end
37,Line,,1,,,11,7,None,Arrow,Has end
38,Line,,1,,,12,10,None,Arrow,+
39,Line,,1,,,12,8,None,Arrow,+
40,Line,,1,,,12,9,None,Arrow,+
41,Line,,1,,,12,11,None,Arrow,+
42,Line,,1,,,13,10,None,Arrow,+
43,Line,,1,,,13,8,None,Arrow,+
44,Line,,1,,,13,9,None,Arrow,+
45,Line,,1,,,13,11,None,Arrow,+
46,Line,,1,,,14,25,None,Arrow,
47,Line,,1,,,13,25,None,Arrow,
48,Line,,1,,,25,9,None,Arrow,
49,Line,,1,,,25,11,None,Arrow,
50,Line,,1,,,15,10,None,Arrow,
51,Line,,1,,,16,10,None,Arrow,
52,Line,,1,,,17,10,None,Arrow,
53,Line,,1,,,17,8,None,Arrow,
54,Line,,1,,,19,10,None,Arrow,
55,Line,,1,,,18,10,None,Arrow,
56,Line,,1,,,18,8,None,Arrow,
57,Line,,1,,,20,9,None,Arrow,
58,Line,,1,,,21,9,None,Arrow,
59,Line,,1,,,21,11,None,Arrow,
60,Line,,1,,,22,9,None,Arrow,
61,Line,,1,,,22,11,None,Arrow,
62,Line,,1,,,23,9,None,Arrow,
63,Line,,1,,,23,11,None,Arrow,
64,Line,,1,,,24,11,None,Arrow,
65,Line,,1,,,7,2,None,Arrow,Value of
66,Line,,1,,,20,8,None,Arrow,+
67,Line,,1,,,20,11,None,Arrow,+
