Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Severity
3,Process,Flowchart Shapes,1,,,,,,,Susceptibility
4,Process,Flowchart Shapes,1,,,,,,,Response efficacy
5,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
6,Process,Flowchart Shapes,1,,,,,,,Perceived severity
7,Process,Flowchart Shapes,1,,,,,,,Perceived susceptibility
8,Process,Flowchart Shapes,1,,,,,,,Perceived response efficacy
9,Process,Flowchart Shapes,1,,,,,,,Perceived self-efficacy
10,Process,Flowchart Shapes,1,,,,,,,Fear 
11,Process,Flowchart Shapes,1,,,,,,,Protective motivation
12,Process,Flowchart Shapes,1,,,,,,,Defensive motivation
13,Process,Flowchart Shapes,1,,,,,,,Individual differences
14,Process,Flowchart Shapes,1,,,,,,,Adaptive response
15,Process,Flowchart Shapes,1,,,,,,,Maladaptive response
16,Process,Flowchart Shapes,1,,,,,,,Message acceptance
17,Process,Flowchart Shapes,1,,,,,,,Critical point
18,Process,Flowchart Shapes,1,,,,,,,Fear appeal
21,Process,Flowchart Shapes,1,,,,,,,Perceived efficacy
22,Process,Flowchart Shapes,1,,,,,,,Perceived threat
25,Process,Flowchart Shapes,1,,,,,,,Danger control processes
26,Process,Flowchart Shapes,1,,,,,,,Fear-control processes
29,Process,Flowchart Shapes,1,,,,,,,Message components
31,Line,,1,,,22,10,None,Arrow,+
32,Line,,1,,,10,22,None,Arrow,
33,Line,,1,,,11,14,None,Arrow,+
34,Line,,1,,,12,15,None,Arrow,+
35,Line,,1,,,10,12,None,Arrow,+
36,Line,,1,,,16,11,None,Arrow,+
37,Line,,1,,,10,16,None,Arrow,-
38,Line,,1,,,17,92,None,Arrow,
39,Line,,1,,,17,94,None,Arrow,
53,Line,,1,,,18,22,None,Arrow,
54,Line,,1,,,18,21,None,Arrow,
69,Line,,1,,,22,21,None,Arrow,
70,Line,,1,,,2,18,None,Arrow,Part of
71,Line,,1,,,4,18,None,Arrow,Part of
72,Line,,1,,,3,18,None,Arrow,Part of
73,Line,,1,,,5,18,None,Arrow,Part of
74,Line,,1,,,21,16,None,Arrow,*
75,Line,,1,,,21,10,None,Arrow,*
76,Line,,1,,,22,16,None,Arrow,*
77,Line,,1,,,22,10,None,Arrow,*
78,Line,,1,,,13,92,None,Arrow,relates through
79,Line,,1,,,13,94,None,Arrow,relates through
80,Line,,1,,,8,21,None,Arrow,Part of
81,Line,,1,,,9,21,None,Arrow,Part of
82,Line,,1,,,6,22,None,Arrow,Part of
83,Line,,1,,,7,22,None,Arrow,Part of
84,Line,,1,,,11,25,None,Arrow,Part of
85,Line,,1,,,14,25,None,Arrow,Part of
86,Line,,1,,,12,26,None,Arrow,Part of
87,Line,,1,,,15,26,None,Arrow,Part of
88,Line,,1,,,2,29,None,Arrow,Type of
89,Line,,1,,,4,29,None,Arrow,Type of
90,Line,,1,,,3,29,None,Arrow,Type of
91,Line,,1,,,5,29,None,Arrow,Type of
92,Terminator,Flowchart Shapes,1,,,,,,,the 'Individual differences' to 'Message acceptance' Influences (*) relationship
93,Line,,1,,,92,16,None,Arrow,relates to
94,Terminator,Flowchart Shapes,1,,,,,,,the 'Individual differences' to 'Fear ' Influences (*) relationship
95,Line,,1,,,94,10,None,Arrow,relates to
