Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,"
"
3,Process,Flowchart Shapes,1,,,,,,,Descriptive norms
4,Process,Flowchart Shapes,1,,,,,,,Provincial norms
5,Process,Flowchart Shapes,1,,,,,,,Injunctive norms
6,Process,Flowchart Shapes,1,,,,,,,Behaviour
7,Process,Flowchart Shapes,1,,,,,,,Norm focus
8,Process,Flowchart Shapes,1,,,,,,,Intention
9,Process,Flowchart Shapes,1,,,,,,,Norms
11,Line,,1,,,9,23,None,Arrow,relates through
12,Line,,1,,,7,23,None,Arrow,
13,Line,,1,,,8,6,None,Arrow,
14,Line,,1,,,7,25,None,Arrow,
19,Line,,1,,,5,25,None,Arrow,relates through
20,Line,,1,,,4,9,None,Arrow,Type of
21,Line,,1,,,3,9,None,Arrow,Type of
22,Line,,1,,,5,9,None,Arrow,Type of
23,Terminator,Flowchart Shapes,1,,,,,,,the 'Norms' to 'Behaviour' Influences relationship
24,Line,,1,,,23,6,None,Arrow,relates to
25,Terminator,Flowchart Shapes,1,,,,,,,the 'Injunctive norms' to 'Intention' Influences relationship
26,Line,,1,,,25,8,None,Arrow,relates to
