Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Smart norms
3,Process,Flowchart Shapes,1,,,,,,,Hedonic 
4,Process,Flowchart Shapes,1,,,,,,,Normative 
5,Process,Flowchart Shapes,1,,,,,,,Gain 
6,Process,Flowchart Shapes,1,,,,,,, Background goals
7,Process,Flowchart Shapes,1,,,,,,,Goals
9,Process,Flowchart Shapes,1,,,,,,,Behaviour
10,Process,Flowchart Shapes,1,,,,,,,"Principles, values, norms"
11,Process,Flowchart Shapes,1,,,,,,,Situational factors
12,Process,Flowchart Shapes,1,,,,,,,Self-enhancement values
13,Process,Flowchart Shapes,1,,,,,,,Self-transcendence values
15,Process,Flowchart Shapes,1,,,,,,,Hedonic values
16,Process,Flowchart Shapes,1,,,,,,,Egoistic values
18,Process,Flowchart Shapes,1,,,,,,,Altruistic values
19,Process,Flowchart Shapes,1,,,,,,,Biospheric values
21,Process,Flowchart Shapes,1,,,,,,,Symbols
22,Process,Flowchart Shapes,1,,,,,,,Injunctive norms
24,Process,Flowchart Shapes,1,,,,,,,Costliness of behaviour
26,Line,,1,,,2,5,None,Arrow,
27,Line,,1,,,2,4,None,Arrow,
33,Line,,1,,,7,6,Arrow,Arrow,Transition
34,Line,,1,,,7,70,None,Arrow,relates through
35,Line,,1,,,6,70,None,Arrow,
50,Line,,1,,,24,7,None,Arrow,
52,Line,,1,,,3,7,None,Arrow,Type of
53,Line,,1,,,3,8,None,Arrow,Type of
54,Line,,1,,,8,7,None,Arrow,Type of
55,Line,,1,,,8,8,None,Arrow,Type of
56,Line,,1,,,4,7,None,Arrow,Type of
57,Line,,1,,,4,8,None,Arrow,Type of
58,Line,,1,,,5,7,None,Arrow,Type of
59,Line,,1,,,5,8,None,Arrow,Type of
60,Line,,1,,,12,10,None,Arrow,Type of
61,Line,,1,,,13,10,None,Arrow,Type of
62,Line,,1,,,15,12,None,Arrow,Type of
63,Line,,1,,,16,12,None,Arrow,Type of
64,Line,,1,,,18,13,None,Arrow,Type of
65,Line,,1,,,19,13,None,Arrow,Type of
66,Line,,1,,,22,11,None,Arrow,Type of
67,Line,,1,,,21,11,None,Arrow,Type of
68,Line,,1,,,10,7,None,Arrow,*
69,Line,,1,,,11,7,None,Arrow,*
70,Terminator,Flowchart Shapes,1,,,,,,,the 'Goals' to 'Behaviour' Influences relationship
71,Line,,1,,,70,9,None,Arrow,relates to
