Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Motivation
3,Process,Flowchart Shapes,1,,,,,,,Resistance
5,Process,Flowchart Shapes,1,,,,,,,Behaviour change
6,Process,Flowchart Shapes,1,,,,,,,Beliefs about importance
7,Process,Flowchart Shapes,1,,,,,,,Beliefs about personal risk
8,Process,Flowchart Shapes,1,,,,,,,Beliefs about the efficacy of change
10,Process,Flowchart Shapes,1,,,,,,,Capacity
12,Process,Flowchart Shapes,1,,,,,,,Locus of control
14,Process,Flowchart Shapes,1,,,,,,,Fixed impediments to change
15,Process,Flowchart Shapes,1,,,,,,,Clinical scenarios
17,Process,Flowchart Shapes,1,,,,,,,Precontemplative with no prior behaviour change attempts
18,Process,Flowchart Shapes,1,,,,,,,Contemplative or preparative with no prior behaviour change attempts
19,Process,Flowchart Shapes,1,,,,,,,Behaviour modification or maintenance of behaviour change
20,Process,Flowchart Shapes,1,,,,,,,Lapse
21,Process,Flowchart Shapes,1,,,,,,,Precontemplative or contemplative with prior behaviour change attempts
22,Process,Flowchart Shapes,1,,,,,,,Self-esteem
23,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
43,Line,,1,,,5,22,None,Arrow,
44,Line,,1,,,5,23,None,Arrow,
45,Line,,1,,,22,12,None,Arrow,
46,Line,,1,,,23,12,None,Arrow,
49,Line,,1,,,2,5,None,Arrow,*
50,Line,,1,,,3,63,None,Arrow,relates through
51,Line,,1,,,6,2,None,Arrow,Part of
52,Line,,1,,,7,2,None,Arrow,Part of
53,Line,,1,,,8,2,None,Arrow,Part of
54,Line,,1,,,10,63,None,Arrow,*
55,Line,,1,,,12,63,None,Arrow,*
56,Line,,1,,,14,3,None,Arrow,Part of
57,Line,,1,,,17,15,None,Arrow,Type of
58,Line,,1,,,18,15,None,Arrow,Type of
59,Line,,1,,,19,15,None,Arrow,Type of
60,Line,,1,,,20,15,None,Arrow,Type of
61,Line,,1,,,21,15,None,Arrow,Type of
62,Line,,1,,,15,5,None,Arrow,Type of
63,Terminator,Flowchart Shapes,1,,,,,,,the 'Resistance' to 'Behaviour change' Influences (*) relationship
64,Line,,1,,,63,5,None,Arrow,relates to
