Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
3,Process,Flowchart Shapes,1,,,,,,,Phasic responses
4,Process,Flowchart Shapes,1,,,,,,,Cognitive Processes
5,Process,Flowchart Shapes,1,,,,,,,Affective state
6,Process,Flowchart Shapes,1,,,,,,,Physical withdrawal
7,Process,Flowchart Shapes,1,,,,,,,Coping behaviour
8,Process,Flowchart Shapes,1,,,,,,,Distal risks
10,Process,Flowchart Shapes,1,,,,,,,Tonic processes
11,Process,Flowchart Shapes,1,,,,,,,Substance use behaviour
14,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
15,Process,Flowchart Shapes,1,,,,,,,Outcome expectancies
16,Process,Flowchart Shapes,1,,,,,,,Motivation
17,Process,Flowchart Shapes,1,,,,,,,Craving
19,Process,Flowchart Shapes,1,,,,,,,Behavioural / cognitive
20,Process,Flowchart Shapes,1,,,,,,,Self-regulation
21,Process,Flowchart Shapes,1,,,,,,,Abstinence violation effect
22,Process,Flowchart Shapes,1,,,,,,,Perceived Effects
24,Process,Flowchart Shapes,1,,,,,,,Contextual factors
25,Process,Flowchart Shapes,1,,,,,,,Social support
26,Process,Flowchart Shapes,1,,,,,,,Family history
27,Process,Flowchart Shapes,1,,,,,,,Dependence
29,Process,Flowchart Shapes,1,,,,,,,Reinforcement
41,Line,,1,,,7,11,Arrow,Arrow,Bi-directional influence
42,Line,,1,,,5,7,Arrow,Arrow,Bi-directional influence
43,Line,,1,,,4,7,Arrow,Arrow,Bi-directional influence
44,Line,,1,,,5,11,Arrow,Arrow,Bi-directional influence
45,Line,,1,,,4,11,None,Arrow,Bi-directional influence
46,Line,,1,,,8,4,None,Arrow,
47,Line,,1,,,8,6,None,Arrow,
48,Line,,1,,,6,4,None,Arrow,
49,Line,,1,,,6,11,None,Arrow,
54,Line,,1,,,11,21,None,Arrow,
55,Line,,1,,,21,5,None,Arrow,
60,Line,,1,,,22,11,Arrow,Arrow,Bi-directional influence
64,Line,,1,,,24,94,None,Arrow,
67,Line,,1,,,8,11,None,Arrow,
70,Line,,1,,,5,4,Arrow,Arrow,Bi-directional influence
71,Line,,1,,,29,5,None,Arrow,
72,Line,,1,,,29,16,None,Arrow,
73,Line,,1,,,29,15,None,Arrow,
74,Line,,1,,,11,29,Arrow,Arrow,Bi-directional influence
75,Line,,1,,,6,3,Arrow,Arrow,Part of
76,Line,,1,,,4,3,Arrow,Arrow,Part of
77,Line,,1,,,5,3,Arrow,Arrow,Part of
78,Line,,1,,,7,3,Arrow,Arrow,Part of
79,Line,,1,,,8,10,Arrow,Arrow,Part of
80,Line,,1,,,6,10,Arrow,Arrow,Part of
81,Line,,1,,,10,11,Arrow,Arrow,Part of
82,Line,,1,,,3,94,Arrow,Arrow,relates through
83,Line,,1,,,14,4,Arrow,Arrow,Type of
84,Line,,1,,,15,4,Arrow,Arrow,Type of
85,Line,,1,,,17,4,Arrow,Arrow,Type of
86,Line,,1,,,16,4,Arrow,Arrow,Type of
87,Line,,1,,,21,4,Arrow,Arrow,Type of
88,Line,,1,,,19,7,Arrow,Arrow,Type of
89,Line,,1,,,20,7,Arrow,Arrow,Type of
90,Line,,1,,,21,22,Arrow,Arrow,Type of
91,Line,,1,,,27,8,Arrow,Arrow,Type of
92,Line,,1,,,25,8,Arrow,Arrow,Type of
93,Line,,1,,,26,8,Arrow,Arrow,Type of
94,Terminator,Flowchart Shapes,1,,,,,,,the 'Phasic responses' to 'Substance use behaviour' Part of relationship
95,Line,,1,,,94,11,Arrow,Arrow,relates to
