Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Self-transcendent values
3,Process,Flowchart Shapes,1,,,,,,,Openness to change values
4,Process,Flowchart Shapes,1,,,,,,,Traditional values
5,Process,Flowchart Shapes,1,,,,,,,Egoistic values
6,Process,Flowchart Shapes,1,,,,,,,New ecological paradigm
7,Process,Flowchart Shapes,1,,,,,,,Awareness of consequences (beliefs)
8,Process,Flowchart Shapes,1,,,,,,,Ascription of responsibility
9,Process,Flowchart Shapes,1,,,,,,,Pro-environmental personal norm
10,Process,Flowchart Shapes,1,,,,,,,Private-sphere behaviours
11,Process,Flowchart Shapes,1,,,,,,,Policy support
12,Process,Flowchart Shapes,1,,,,,,,Environmental citizenship
13,Process,Flowchart Shapes,1,,,,,,,Environmental activism
14,Process,Flowchart Shapes,1,,,,,,,Personal  values
16,Process,Flowchart Shapes,1,,,,,,,Altruistic values
17,Process,Flowchart Shapes,1,,,,,,,Biospheric values
19,Line,,1,,,2,6,None,Arrow,
20,Line,,1,,,5,6,None,Arrow,-
21,Line,,1,,,4,6,None,Arrow,-
22,Line,,1,,,6,7,None,Arrow,
23,Line,,1,,,9,13,None,Arrow,
24,Line,,1,,,9,12,None,Arrow,
25,Line,,1,,,9,11,None,Arrow,
26,Line,,1,,,9,10,None,Arrow,
27,Line,,1,,,8,9,None,Arrow,
28,Line,,1,,,7,8,None,Arrow,
34,Line,,1,,,3,6,None,Arrow,
38,Line,,1,,,2,5,Arrow,Arrow,
39,Line,,1,,,2,4,Arrow,Arrow,
40,Line,,1,,,2,3,Arrow,Arrow,Correlations
41,Line,,1,,,5,4,Arrow,Arrow,
42,Line,,1,,,5,3,Arrow,Arrow,
43,Line,,1,,,4,3,Arrow,Arrow,
44,Line,,1,,,2,14,Arrow,Arrow,Type of
45,Line,,1,,,5,14,Arrow,Arrow,Type of
46,Line,,1,,,4,14,Arrow,Arrow,Type of
47,Line,,1,,,3,14,Arrow,Arrow,Type of
48,Line,,1,,,16,2,Arrow,Arrow,Type of
49,Line,,1,,,17,2,Arrow,Arrow,Type of
