Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,1. Action Theory Model of Consumption - FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Block,Standard,2,,,,,,,,Desirability ,
4,Block,Standard,2,,,,,,,,Feasibility of goals ,
5,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
6,Block,Standard,2,,,,,,,,Goal intention ,
7,Block,Standard,2,,,,,,,,Somatic marker processes ,
8,Block,Standard,2,,,,,,,,Previous emotional experiences with behaviour ,
9,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
10,Block,Standard,2,,,,,,,,Normative beliefs ,
11,Block,Standard,2,,,,,,,,Motivation to comply ,
12,Block,Standard,2,,,,,,,,Subjective norms ,
13,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
14,Block,Standard,2,,,,,,,,Beliefs,
15,Block,Standard,2,,,,,,,,Evaluations ,
16,Block,Standard,2,,,,,,,,Attitudes ,
17,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
18,Block,Standard,2,,,,,,,,Moral imperatives ,
19,Block,Standard,2,,,,,,,,Desire,
20,Block,Standard,2,,,,,,,,Social identity processes ,
21,Block,Standard,2,,,,,,,,Implementation intentions,
22,Block,Standard,2,,,,,,,,Perceived behavioural control ,
23,Block,Standard,2,,,,,,,,Anticipated emotions ,
24,Block,Standard,2,,,,,,,,Trying,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Block,Standard,2,,,,,,,,Antecedents of goal-directed behaviour ,
27,Block,Standard,2,,,,,,,,Performance of goal-directed behaviours ,
28,Block,Standard,2,,,,,,,,Situational Forces ,
29,Block,Standard,2,,,,,,,,Goal attainment / failure ,
30,Block,Standard,2,,,,,,,,Feedback ,
31,Block,Standard,2,,,,,,,,Recency of past behaviour ,
32,Block,Standard,2,,,,,,,,Frequency of past behaviour,
33,Block,Standard,2,,,,,,,,Low,
34,Block,Standard,2,,,,,,,,High,
35,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
36,Rectangle,Geometric Shapes,2,,,,,,,,Self-conscious emotions,
37,Rectangle,Geometric Shapes,2,,,,,,,,Moral emotions,
38,Rectangle,Geometric Shapes,2,,,,,,,,"Virtues, values, other individual differences",
39,Rectangle,Geometric Shapes,2,,,,,,,,Empathy,
40,Rectangle,Geometric Shapes,2,,,,,,,,Social and personal identity,
41,Line,,2,,,3,5,None,Arrow,,,
42,Line,,2,,,4,5,None,Arrow,,,
43,Line,,2,,,5,6,None,Arrow,,+,
44,Line,,2,,,8,9,None,Arrow,,,
45,Line,,2,,,9,7,None,Arrow,,,
46,Line,,2,,,10,13,None,Arrow,,,
47,Line,,2,,,11,13,None,Arrow,,,
48,Line,,2,,,14,17,None,Arrow,,,
49,Line,,2,,,15,17,None,Arrow,,,
50,Line,,2,,,17,16,None,Arrow,,,
51,Line,,2,,,7,23,None,Arrow,,,
52,Line,,2,,,23,19,None,Arrow,,,
53,Line,,2,,,12,25,None,Arrow,,,
54,Line,,2,,,23,25,None,Arrow,,,
55,Line,,2,,,22,19,None,Arrow,,,
56,Line,,2,,,21,24,None,Arrow,,+,
57,Line,,2,,,20,25,None,Arrow,,,
58,Line,,2,,,25,26,None,Arrow,,,
59,Line,,2,,,29,30,None,Arrow,,+/-,
60,Line,,2,,,6,19,None,Arrow,,+,
61,Line,,2,,,12,19,None,Arrow,,,
62,Line,,2,,,5,25,None,Arrow,,,
63,Line,,2,,,13,25,None,Arrow,,,
64,Line,,2,,,17,25,None,Arrow,,,
65,Line,,2,,,7,25,None,Arrow,,,
66,Line,,2,,,16,19,None,Arrow,,,
67,Line,,2,,,24,27,None,Arrow,,+,
68,Line,,2,,,22,27,None,Arrow,,+,
69,Line,,2,,,22,24,None,Arrow,,+,
70,Line,,2,,,19,21,None,Arrow,,,
71,Line,,2,,,13,12,None,Arrow,,,
72,Line,,2,,,6,25,None,Arrow,,,
73,Line,,2,,,16,25,None,Arrow,,,
74,Line,,2,,,22,25,None,Arrow,,,
75,Line,,2,,,19,25,None,Arrow,,,
76,Line,,2,,,34,35,None,Arrow,,,
77,Line,,2,,,33,35,None,Arrow,,,
78,Line,,2,,,35,32,None,Arrow,,,
79,Line,,2,,,32,25,None,Arrow,,,
80,Line,,2,,,30,26,None,Arrow,,,
81,Line,,2,,,32,19,None,Arrow,,,
82,Line,,2,,,18,19,None,Arrow,,,
83,Line,,2,,,18,25,None,Arrow,,,
