Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,13. Diffusion of Innovations - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Time,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Social system,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovation,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication Channels,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Technology,
8,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Hardware aspect,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Software aspect,
11,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Uncertainty,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Software information,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovation-evaluation information,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovation clusters,
16,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Adoption/rejection,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Characteristics of Innovations,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Relative advantage,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Compatibility,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Complexity,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Trialability,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Observability,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinvention,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Cost,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Mass media,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Near-peers,
29,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Modelling,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Homophilious,
32,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Localite channels,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Cosmopolite channels,
35,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovation-decision,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Knowledge ,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Persuasion,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Decision,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Implementation,
41,Process,Flowchart Shapes/Containers,2,,,,,,,,Confirmation,
42,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
43,Process,Flowchart Shapes/Containers,2,,,,,,,,Adopter categories,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovators,
45,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovativeness,
46,Process,Flowchart Shapes/Containers,2,,,,,,,,Early adopters,
47,Process,Flowchart Shapes/Containers,2,,,,,,,,Early majority,
48,Process,Flowchart Shapes/Containers,2,,,,,,,,Late majority,
49,Process,Flowchart Shapes/Containers,2,,,,,,,,Laggards,
50,Process,Flowchart Shapes/Containers,2,,,,,,,,Rate of adoption,
51,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
52,Process,Flowchart Shapes/Containers,2,,,,,,,,Social Structure,
53,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication structure,
54,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
55,Process,Flowchart Shapes/Containers,2,,,,,,,,System norms,
56,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
57,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication networks,
58,Process,Flowchart Shapes/Containers,2,,,,,,,,Change agents,
59,Process,Flowchart Shapes/Containers,2,,,,,,,,Aides,
60,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
61,Process,Flowchart Shapes/Containers,2,,,,,,,,Optional innovation-decision,
62,Process,Flowchart Shapes/Containers,2,,,,,,,,Collective innovation-decision,
63,Process,Flowchart Shapes/Containers,2,,,,,,,,Authority innovation-decision,
64,Process,Flowchart Shapes/Containers,2,,,,,,,,Contingent innovation-decision,
65,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
66,Process,Flowchart Shapes/Containers,2,,,,,,,,Prior adoption of innovation,
67,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
68,Process,Flowchart Shapes/Containers,2,,,,,,,,Consequences of adoption,
69,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
70,Process,Flowchart Shapes/Containers,2,,,,,,,,Desirable vs undesirable,
71,Process,Flowchart Shapes/Containers,2,,,,,,,,Direct vs indirect ,
72,Process,Flowchart Shapes/Containers,2,,,,,,,,Anticipated vs unanticipated,
73,Process,Flowchart Shapes/Containers,2,,,,,,,,Radicalness,
74,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
75,Process,Flowchart Shapes/Containers,2,,,,,,,,Opinion leaders,
76,Process,Flowchart Shapes/Containers,2,,,,,,,,Density,
77,Process,Flowchart Shapes/Containers,2,,,,,,,,Clustering,
78,Process,Flowchart Shapes/Containers,2,,,,,,,,Centralisation,
79,Process,Flowchart Shapes/Containers,2,,,,,,,,Low,
80,Process,Flowchart Shapes/Containers,2,,,,,,,,Very low,
81,Process,Flowchart Shapes/Containers,2,,,,,,,,High,
82,Process,Flowchart Shapes/Containers,2,,,,,,,,Very high,
83,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
84,Process,Flowchart Shapes/Containers,2,,,,,,,,Thresholds,
85,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
86,Process,Flowchart Shapes/Containers,2,,,,,,,,Network structural indicators,
87,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
88,Process,Flowchart Shapes/Containers,2,,,,,,,,Diffusion rate,
89,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual,
90,Process,Flowchart Shapes/Containers,2,,,,,,,,Population,
91,Process,Flowchart Shapes/Containers,2,,,,,,,,Rate of imitation,
92,Process,Flowchart Shapes/Containers,2,,,,,,,,Rate of innovation,
93,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
94,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
95,Line,,2,,,7,8,None,Arrow,,,
96,Line,,2,,,8,5,None,Arrow,,,
97,Line,,2,,,10,11,None,Arrow,,,
98,Line,,2,,,9,11,None,Arrow,,,
99,Line,,2,,,11,7,None,Arrow,,,
100,Line,,2,,,13,11,None,Arrow,,,
101,Line,,2,,,13,14,None,Arrow,,,
102,Line,,2,,,14,12,None,Arrow,,​-,
103,Line,,2,,,15,16,None,Arrow,,,
104,Line,,2,,,16,5,None,Arrow,,,
105,Line,,2,,,15,17,None,Arrow,,​+,
106,Line,,2,,,18,17,None,Arrow,,,
107,Line,,2,,,74,18,None,Arrow,,,
108,Line,,2,,,20,74,None,Arrow,,,
109,Line,,2,,,23,74,None,Arrow,,,
110,Line,,2,,,21,74,None,Arrow,,,
111,Line,,2,,,22,74,None,Arrow,,,
112,Line,,2,,,19,74,None,Arrow,,,
113,Line,,2,,,24,74,None,Arrow,,,
114,Line,,2,,,6,17,None,Arrow,,​+,
115,Line,,2,,,32,6,None,Arrow,,,
116,Line,,2,,,26,32,None,Arrow,,,
117,Line,,2,,,27,32,None,Arrow,,,
118,Line,,2,,,29,27,None,Arrow,,,
119,Line,,2,,,27,30,None,Arrow,,,
120,Line,,2,,,30,17,None,Arrow,,​+,
121,Line,,2,,,31,29,None,Arrow,,,
122,Line,,2,,,5,17,None,Arrow,,,
123,Line,,2,,,35,26,None,Arrow,,,
124,Line,,2,,,33,35,None,Arrow,,,
125,Line,,2,,,33,29,None,Arrow,,,
126,Line,,2,,,34,29,None,Arrow,,,
127,Line,,2,,,34,35,None,Arrow,,,
128,Line,,2,,,18,16,None,Arrow,,,
129,Line,,2,,,28,29,None,Arrow,,,
130,Line,,2,,,36,3,None,Arrow,,,
131,Line,,2,,,65,36,None,Arrow,,,
132,Line,,2,,,37,65,None,Arrow,,,
133,Line,,2,,,38,65,None,Arrow,,,
134,Line,,2,,,39,65,None,Arrow,,,
135,Line,,2,,,40,65,None,Arrow,,,
136,Line,,2,,,41,65,None,Arrow,,,
137,Line,,2,,,37,38,Arrow,Arrow,,Transition,
138,Line,,2,,,38,39,Arrow,Arrow,,Transition,
139,Line,,2,,,39,40,Arrow,Arrow,,Transition,
140,Line,,2,,,40,41,Arrow,Arrow,,Transition,
141,Line,,2,,,45,3,None,Arrow,,,
142,Line,,2,,,43,45,None,Arrow,,,
143,Line,,2,,,83,43,None,Arrow,,,
144,Line,,2,,,44,83,None,Arrow,,,
145,Line,,2,,,46,83,None,Arrow,,,
146,Line,,2,,,47,83,None,Arrow,,,
147,Line,,2,,,48,83,None,Arrow,,,
148,Line,,2,,,49,83,None,Arrow,,,
149,Line,,2,,,3,50,None,Arrow,,,
150,Line,,2,,,50,51,None,Arrow,,,
151,Line,,2,,,4,50,None,Arrow,,,
152,Line,,2,,,52,12,None,Arrow,,​-,
153,Line,,2,,,53,31,None,Arrow,,​+,
154,Line,,2,,,54,4,None,Arrow,,,
155,Line,,2,,,52,54,None,Arrow,,,
156,Line,,2,,,53,54,None,Arrow,,,
157,Line,,2,,,55,17,None,Arrow,,​+/-,
158,Line,,2,,,56,55,None,Arrow,,,
159,Line,,2,,,86,56,None,Arrow,,,
160,Line,,2,,,58,36,None,Arrow,,,
161,Line,,2,,,58,59,None,Arrow,,,
162,Line,,2,,,59,36,None,Arrow,,,
163,Line,,2,,,58,60,None,Arrow,,,
164,Line,,2,,,60,86,None,Arrow,,,
165,Line,,2,,,55,54,None,Arrow,,,
166,Line,,2,,,59,31,None,Arrow,,,
167,Line,,2,,,36,17,None,Arrow,,,
168,Line,,2,,,42,36,None,Arrow,,,
169,Line,,2,,,61,42,None,Arrow,,,
170,Line,,2,,,62,42,None,Arrow,,,
171,Line,,2,,,63,42,None,Arrow,,,
172,Line,,2,,,64,42,None,Arrow,,,
173,Line,,2,,,51,17,None,Arrow,,,
174,Line,,2,,,66,67,None,Arrow,,,
175,Line,,2,,,67,64,None,Arrow,,,
176,Line,,2,,,61,54,None,Arrow,,,
177,Line,,2,,,62,54,None,Arrow,,,
178,Line,,2,,,63,54,None,Arrow,,,
179,Line,,2,,,64,54,None,Arrow,,,
180,Line,,2,,,36,68,None,Arrow,,,
181,Line,,2,,,68,4,None,Arrow,,,
182,Line,,2,,,69,68,None,Arrow,,,
183,Line,,2,,,70,69,None,Arrow,,,
184,Line,,2,,,71,69,None,Arrow,,,
185,Line,,2,,,72,69,None,Arrow,,,
186,Line,,2,,,73,74,None,Arrow,,,
187,Line,,2,,,25,74,None,Arrow,,,
188,Line,,2,,,75,29,None,Arrow,,,
189,Line,,2,,,82,85,None,Arrow,,,
190,Line,,2,,,81,85,None,Arrow,,,
191,Line,,2,,,79,85,None,Arrow,,,
192,Line,,2,,,80,85,None,Arrow,,,
193,Line,,2,,,85,84,None,Arrow,,,
194,Line,,2,,,84,45,None,Arrow,,,
195,Line,,2,,,76,87,None,Arrow,,,
196,Line,,2,,,77,87,None,Arrow,,,
197,Line,,2,,,78,87,None,Arrow,,,
198,Line,,2,,,86,57,None,Arrow,,,
199,Line,,2,,,50,94,None,Arrow,,,
200,Line,,2,,,89,94,None,Arrow,,,
201,Line,,2,,,90,94,None,Arrow,,,
202,Line,,2,,,87,86,None,Arrow,,,
203,Line,,2,,,86,88,None,Arrow,,,
204,Line,,2,,,91,93,None,Arrow,,,
205,Line,,2,,,92,93,None,Arrow,,,
206,Line,,2,,,88,93,None,Arrow,,,
