Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,16. Extended parallel processing model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Block,Standard,2,,,,,,,,Severity,
4,Block,Standard,2,,,,,,,,Susceptibility,
5,Block,Standard,2,,,,,,,,Response efficacy,
6,Block,Standard,2,,,,,,,,Self-efficacy,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived severity,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived susceptibility,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived response efficacy,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived self-efficacy,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Fear ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Protective motivation,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Defensive motivation,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual differences,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Adaptive response,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Maladaptive response,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Message acceptance,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Critical point,
19,Block,Standard,2,,,,,,,,Fear appeal,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
22,Block,Standard,2,,,,,,,,Perceived efficacy,
23,Block,Standard,2,,,,,,,,Perceived threat,
24,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Block,Standard,2,,,,,,,,Danger control processes,
27,Block,Standard,2,,,,,,,,Fear-control processes,
28,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
29,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
30,Block,Standard,2,,,,,,,,Message components,
31,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
32,Line,,2,,,23,11,None,Arrow,,​+,
33,Line,,2,,,11,23,None,Arrow,,,
34,Line,,2,,,12,15,None,Arrow,,​+,
35,Line,,2,,,13,16,None,Arrow,,​+,
36,Line,,2,,,11,13,None,Arrow,,​+,
37,Line,,2,,,17,12,None,Arrow,,​+,
38,Line,,2,,,11,17,None,Arrow,,​-,
39,Line,,2,,,18,56,None,Arrow,,,
40,Line,,2,,,18,57,None,Arrow,,,
41,Line,,2,,,9,24,None,Arrow,,,
42,Line,,2,,,10,24,None,Arrow,,,
43,Line,,2,,,24,22,None,Arrow,,,
44,Line,,2,,,7,25,None,Arrow,,,
45,Line,,2,,,8,25,None,Arrow,,,
46,Line,,2,,,25,23,None,Arrow,,,
47,Line,,2,,,22,21,None,Arrow,,,
48,Line,,2,,,23,21,None,Arrow,,,
49,Line,,2,,,3,20,None,Arrow,,,
50,Line,,2,,,5,20,None,Arrow,,,
51,Line,,2,,,4,20,None,Arrow,,,
52,Line,,2,,,6,20,None,Arrow,,,
53,Line,,2,,,20,19,None,Arrow,,,
54,Line,,2,,,19,23,None,Arrow,,,
55,Line,,2,,,19,22,None,Arrow,,,
56,Line,,2,,,21,17,None,Arrow,,,
57,Line,,2,,,21,11,None,Arrow,,,
58,Line,,2,,,12,28,None,Arrow,,,
59,Line,,2,,,15,28,None,Arrow,,,
60,Line,,2,,,28,26,None,Arrow,,,
61,Line,,2,,,13,29,None,Arrow,,,
62,Line,,2,,,16,29,None,Arrow,,,
63,Line,,2,,,29,27,None,Arrow,,,
64,Line,,2,,,3,31,None,Arrow,,,
65,Line,,2,,,5,31,None,Arrow,,,
66,Line,,2,,,4,31,None,Arrow,,,
67,Line,,2,,,6,31,None,Arrow,,,
68,Line,,2,,,31,30,None,Arrow,,,
69,Line,,2,,,14,21,None,Arrow,,,
70,Line,,2,,,23,22,None,Arrow,,,
