Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,17. Feedback Intervention Theory May 2020,
2,Page,,,,,,,,,,Page 1,
3,Block,Standard,2,,,,,,,,Hierarchy of negative feedback loops ,
4,Block,Standard,2,,,,,,,,Meta-task processes ,
5,Block,Standard,2,,,,,,,,Abandoning the standard ,
6,Block,Standard,2,,,,,,,,Locus of attention ,
7,Block,Standard,2,,,,,,,,Task-motivation processes ,
8,Block,Standard,2,,,,,,,,Task-learning processes ,
9,Block,Standard,2,,,,,,,,Negative feedback loops ,
10,Block,Standard,2,,,,,,,,Goal-setting ,
11,Block,Standard,2,,,,,,,,Strategies for eliminating the feedback-standard gap ,
12,Block,Standard,2,,,,,,,,Depletion of cognitive resources ,
13,Block,Standard,2,,,,,,,,Performance / behaviour ,
14,Block,Standard,2,,,,,,,,Feedback sign ,
15,Block,Standard,2,,,,,,,,Feedback intervention-induced affect ,
16,Block,Standard,2,,,,,,,,Standards / goals ,
17,Block,Standard,2,,,,,,,,Feedback intervention ,
18,Block,Standard,2,,,,,,,,Feedback-standard discrepancies ,
19,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
22,Block,Standard,2,,,,,,,,Lowering the standard ,
23,Block,Standard,2,,,,,,,,Rejecting the feedback ,
24,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
27,Block,Standard,2,,,,,,,,Feedback intervention cues ,
28,Block,Standard,2,,,,,,,,Task characteristics ,
29,Block,Standard,2,,,,,,,,Situational variables ,
30,Block,Standard,2,,,,,,,,Personality ,
31,Block,Standard,2,,,,,,,,Arousal ,
32,Block,Standard,2,,,,,,,,Pleasantness ,
33,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
34,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
35,Block,Standard,2,,,,,,,,Affective processes,
36,Block,Standard,2,,,,,,,,Resolving feedback-self discrepancies,
37,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
38,Block,Standard,2,,,,,,,,Self-efficacy,
39,Block,Standard,2,,,,,,,,Anxiety,
40,Block,Standard,2,,,,,,,,Feedback intervention velocity,
41,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
42,Block,Standard,2,,,,,,,,Hypotheses,
43,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
44,Block,Standard,2,,,,,,,,Attention to the self ,
45,Line,,2,,,4,19,None,Arrow,,,
46,Line,,2,,,8,19,None,Arrow,,,
47,Line,,2,,,7,19,None,Arrow,,,
48,Line,,2,,,19,9,None,Arrow,,,
49,Line,,2,,,6,19,None,Arrow,,,
50,Line,,2,,,17,20,None,Arrow,,,
51,Line,,2,,,16,20,None,Arrow,,,
52,Line,,2,,,17,21,None,Arrow,,,
53,Line,,2,,,20,18,None,Arrow,,,
54,Line,,2,,,21,6,None,Arrow,,,
55,Line,,2,,,21,4,None,Arrow,,,
56,Line,,2,,,14,13,None,Arrow,,,
57,Line,,2,,,18,13,None,Arrow,,,
58,Line,,2,,,19,57,None,Arrow,,Transition,
59,Line,,2,,,12,13,None,Arrow,,,
60,Line,,2,,,11,13,None,Arrow,,,
61,Line,,2,,,23,24,None,Arrow,,,
