Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,18. Focus Theory of Normative Conduct - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Descriptive norms,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Provincial norms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Injunctive norms,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Norm focus,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Norms,
10,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
11,Line,,2,,,9,6,None,Arrow,,,
12,Line,,2,,,7,11,None,Arrow,,,
13,Line,,2,,,8,6,None,Arrow,,,
14,Line,,2,,,7,19,None,Arrow,,,
15,Line,,2,,,10,9,None,Arrow,,,
16,Line,,2,,,4,10,None,Arrow,,,
17,Line,,2,,,3,10,None,Arrow,,,
18,Line,,2,,,5,10,None,Arrow,,,
19,Line,,2,,,5,8,None,Arrow,,,
