Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,22. Goal-Framing Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Smart norms,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Hedonic ,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative ,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Gain ,
7,Process,Flowchart Shapes/Containers,2,,,,,,,, Background goals,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Goals,
9,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,"Principles, values, norms",
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Situational factors,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-enhancement values,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-transcendence values,
15,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Hedonic values,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Egoistic values,
18,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Altruistic values,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Biospheric values,
21,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Symbols,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Injunctive norms,
24,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Costliness of behaviour,
26,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
27,Line,,2,,,3,6,None,Arrow,,,
28,Line,,2,,,3,5,None,Arrow,,,
29,Line,,2,,,4,9,None,Arrow,,,
30,Line,,2,,,9,8,None,Arrow,,,
31,Line,,2,,,9,9,None,Arrow,,,
32,Line,,2,,,5,9,None,Arrow,,,
33,Line,,2,,,6,9,None,Arrow,,,
34,Line,,2,,,8,7,Arrow,Arrow,,Transition,
35,Line,,2,,,8,10,None,Arrow,,,
36,Line,,2,,,7,35,None,Arrow,,,
37,Line,,2,,,11,26,None,Arrow,,,
38,Line,,2,,,12,26,None,Arrow,,,
39,Line,,2,,,13,15,None,Arrow,,,
40,Line,,2,,,14,15,None,Arrow,,,
41,Line,,2,,,15,11,None,Arrow,,,
42,Line,,2,,,16,18,None,Arrow,,,
43,Line,,2,,,17,18,None,Arrow,,,
44,Line,,2,,,18,13,None,Arrow,,,
45,Line,,2,,,19,21,None,Arrow,,,
46,Line,,2,,,20,21,None,Arrow,,,
47,Line,,2,,,21,14,None,Arrow,,,
48,Line,,2,,,23,24,None,Arrow,,,
49,Line,,2,,,22,24,None,Arrow,,,
50,Line,,2,,,24,12,None,Arrow,,,
51,Line,,2,,,25,8,None,Arrow,,,
52,Line,,2,,,26,8,None,Arrow,,,
