Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,23. Goal Setting theory - FINAL,
2,Page,,,,,,,,,,23. Goal setting theory,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Goals ,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Goal diffiiculty,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Goal specificity,
6,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-set goals,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Participative goals,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Assigned goals,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Proximal goals,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Directive function,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Energising function,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Task performance,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Values,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Commitment,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Feedback,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Task complexity,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Persistence,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Task-relevant knowledge and strategies / ability,
21,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
22,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,, Incentives,
24,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Distal goals,
26,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
27,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural goals,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Learning goals,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Goal achievement,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Satisfaction,
32,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
33,Or,Flowchart Shapes/Containers,2,,,,,,,,,
34,Line,,2,,,4,6,None,Arrow,,,
35,Line,,2,,,5,6,None,Arrow,,,
36,Line,,2,,,6,3,None,Arrow,,,
37,Line,,2,,,7,27,None,Arrow,,,
38,Line,,2,,,8,27,None,Arrow,,,
39,Line,,2,,,32,11,None,Arrow,,,
40,Line,,2,,,32,12,None,Arrow,,,
41,Line,,2,,,11,13,None,Arrow,,,
42,Line,,2,,,12,13,None,Arrow,,,
43,Line,,2,,,32,19,None,Arrow,,,
44,Line,,2,,,10,27,None,Arrow,,,
45,Line,,2,,,3,20,None,Arrow,,,
46,Line,,2,,,19,13,None,Arrow,,,
47,Line,,2,,,20,13,None,Arrow,,,
48,Line,,2,,,21,40,None,Arrow,,,
49,Line,,2,,,21,39,None,Arrow,,,
50,Line,,2,,,21,43,None,Arrow,,,
51,Line,,2,,,14,33,None,Arrow,,,
52,Line,,2,,,16,33,Arrow,None,,,
53,Line,,2,,,18,22,None,Arrow,,,
54,Line,,2,,,9,26,None,Arrow,,,
55,Line,,2,,,26,23,None,Arrow,,,
56,Line,,2,,,23,7,None,Arrow,,,
57,Line,,2,,,15,33,None,Arrow,,,
58,Line,,2,,,23,15,None,Arrow,,,
59,Line,,2,,,15,3,Arrow,Arrow,,,
60,Line,,2,,,17,24,None,Arrow,,,
61,Line,,2,,,15,24,None,Arrow,,,
62,Line,,2,,,3,24,Arrow,None,,,
63,Line,,2,,,17,15,None,Arrow,,,
64,Line,,2,,,25,27,None,Arrow,,,
65,Line,,2,,,15,13,None,Arrow,,,
66,Line,,2,,,27,3,None,Arrow,,,
67,Line,,2,,,9,27,None,Arrow,,,
68,Line,,2,,,29,27,None,Arrow,,,
69,Line,,2,,,28,27,None,Arrow,,,
70,Line,,2,,,3,22,None,Arrow,,,
71,Line,,2,,,13,30,None,Arrow,,,
72,Line,,2,,,30,31,None,Arrow,,,
73,Line,,2,,,17,43,None,Arrow,,,
74,Line,,2,,,20,46,None,Arrow,,,
75,Line,,2,,,20,42,None,Arrow,,,
76,Line,,2,,,20,41,None,Arrow,,,
77,Line,,2,,,20,65,None,Arrow,,,
78,Line,,2,,,23,16,None,Arrow,,,
79,Line,,2,,,14,78,None,Arrow,,,
80,Line,,2,,,17,32,None,Arrow,,,
81,Line,,2,,,17,40,None,Arrow,,,
82,Line,,2,,,17,39,None,Arrow,,,
83,Line,,2,,,16,21,None,Arrow,,,
84,Line,,2,,,4,21,None,Arrow,,,
85,Line,,2,,,21,45,None,Arrow,,,
86,Line,,2,,,3,32,None,Arrow,,,
87,Line,,2,,,22,45,None,Arrow,,,
