Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,24. Health Action Process Approach - FINAL,,
2,Page,,,,,,,,,,Page 1,,
3,Block,Standard,2,,,,,,,,Self-efficacy ,,
4,Block,Standard,2,,,,,,,,Action ,,
5,Block,Standard,2,,,,,,,,Coping planning ,,
6,Block,Standard,2,,,,,,,,Action planning ,,
7,Block,Standard,2,,,,,,,,Planning ,,
8,Block,Standard,2,,,,,,,,Intention ,,
9,Block,Standard,2,,,,,,,,Perceived severity ,,
10,Block,Standard,2,,,,,,,,Perceived vulnerability ,,
11,Block,Standard,2,,,,,,,,Risk perception ,,
12,Block,Standard,2,,,,,,,,Social ,,
13,Block,Standard,2,,,,,,,,Emotional ,,
14,Block,Standard,2,,,,,,,,Physical ,,
15,Block,Standard,2,,,,,,,,Outcome expectancies ,,
16,Block,Standard,2,,,,,,,,Recovery self-efficacy ,,
17,Block,Standard,2,,,,,,,,Maintenance self-efficacy ,,
18,Block,Standard,2,,,,,,,,Action self-efficacy ,,
19,Merge,Flowchart Shapes/Containers,2,,,,,,,,,,
20,Merge,Flowchart Shapes/Containers,2,,,,,,,,,,
21,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,,
22,Merge,Flowchart Shapes/Containers,2,,,,,,,,,,
23,Block,Standard,2,,,,,,,,Self-regulatory effort ,,
24,Block,Standard,2,,,,,,,,Self-monitoring ,,
25,Block,Standard,2,,,,,,,,Awareness of standards ,,
26,Block,Standard,2,,,,,,,,Action control ,,
27,Block,Standard,2,,,,,,,,Perceived social support ,,
28,Connector,Flowchart Shapes/Containers,2,,,,,,,,,,
29,Block,Standard,2,,,,,,,,Motivational phase ,,
30,Block,Standard,2,,,,,,,,Non-intenders ,,
31,Block,Standard,2,,,,,,,,Actors ,,
32,Block,Standard,2,,,,,,,,Action control ,,
33,Block,Standard,2,,,,,,,,Recovery self-efficacy ,,
34,Block,Standard,2,,,,,,,,Maintenance self-efficacy ,,
35,Block,Standard,2,,,,,,,,Planning ,,
36,Block,Standard,2,,,,,,,,Volitional phase ,,
37,Block,Standard,2,,,,,,,,Action self-efficacy ,,
38,Block,Standard,2,,,,,,,,Outcome expectancies ,,
39,Block,Standard,2,,,,,,,,Intenders ,,
40,Block,Standard,2,,,,,,,,Risk perception ,,
41,Connector,Flowchart Shapes/Containers,2,,,,,,,,,,
42,Connector,Flowchart Shapes/Containers,2,,,,,,,,,,
43,Line,,2,,,18,19,None,Arrow,,,,
44,Line,,2,,,17,19,None,Arrow,,,,
45,Line,,2,,,16,19,None,Arrow,,,,
46,Line,,2,,,19,3,None,Arrow,,,,
47,Line,,2,,,13,20,None,Arrow,,,,
48,Line,,2,,,14,20,None,Arrow,,,,
49,Line,,2,,,12,20,None,Arrow,,,,
50,Line,,2,,,20,15,None,Arrow,,,,
51,Line,,2,,,10,21,None,Arrow,,,,
52,Line,,2,,,9,21,None,Arrow,,,,
53,Line,,2,,,21,11,None,Arrow,,,,
54,Line,,2,,,11,8,None,Arrow,,​+,,
55,Line,,2,,,15,8,None,Arrow,,​+,,
56,Line,,2,,,18,8,None,Arrow,,​+,,
57,Line,,2,,,6,22,None,Arrow,,,,
58,Line,,2,,,5,22,None,Arrow,,,,
59,Line,,2,,,22,7,None,Arrow,,,,
60,Line,,2,,,8,7,None,Arrow,,,,
61,Line,,2,,,18,6,None,Arrow,,​+,,
62,Line,,2,,,17,4,None,Arrow,,​+,,
63,Line,,2,,,16,4,None,Arrow,,​+,,
64,Line,,2,,,27,8,None,Arrow,,,,
65,Line,,2,,,27,66,None,Arrow,,Transition,,
66,Line,,2,,,8,4,None,Arrow,,,,
67,Line,,2,,,25,28,None,Arrow,,,,
68,Line,,2,,,24,28,None,Arrow,,,,
69,Line,,2,,,23,28,None,Arrow,,,,
70,Line,,2,,,28,26,None,Arrow,,,,
71,Line,,2,,,8,26,None,Arrow,,​+,,
72,Line,,2,,,26,4,Arrow,Arrow,,​+,​+,
73,Line,,2,,,16,26,None,Arrow,,​+,,
74,Line,,2,,,17,7,None,Arrow,,,,
75,Line,,2,,,41,29,None,Arrow,,,,
76,Line,,2,,,30,41,None,Arrow,,,,
77,Line,,2,,,42,36,None,Arrow,,,,
78,Line,,2,,,38,41,None,Arrow,,,,
79,Line,,2,,,40,41,None,Arrow,,,,
80,Line,,2,,,37,41,None,Arrow,,,,
81,Line,,2,,,39,42,None,Arrow,,,,
82,Line,,2,,,39,42,None,Arrow,,,,
83,Line,,2,,,31,42,None,Arrow,,,,
84,Line,,2,,,30,39,None,Arrow,,Transition,,
85,Line,,2,,,39,31,None,Arrow,,Transition,,
86,Line,,2,,,35,42,None,Arrow,,,,
87,Line,,2,,,34,42,None,Arrow,,,,
88,Line,,2,,,33,42,None,Arrow,,,,
89,Line,,2,,,32,42,None,Arrow,,,,
90,Line,,2,,,38,84,None,Arrow,,​+,,
91,Line,,2,,,40,84,None,Arrow,,​+,,
92,Line,,2,,,37,84,None,Arrow,,​+,,
93,Line,,2,,,32,85,None,Arrow,,​+,,
94,Line,,2,,,33,85,None,Arrow,,​+,,
95,Line,,2,,,34,85,None,Arrow,,​+,,
96,Line,,2,,,35,85,None,Arrow,,​+,,
97,Line,,2,,,7,4,None,Arrow,,,,
