Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,26. Health Behaviour Internalisation Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Block,Standard,2,,,,,,,,Self-needs,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Ownership,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-determination,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Security,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Support,
8,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Health behaviour-related needs,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Preference,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Context,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Coping,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Competence,
14,Block,Standard,2,,,,,,,,Self-efficacy,
15,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,External regulation of health behaviour,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Introjected internalisation and self-regulation of health behaviour,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Experience of being controlled and conflicted about health behaviour ,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Health behaviour maintenance,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to engage in health behaviour,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Integrated internalisation and self-regulation of health behaviour,
23,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Experience of autonomy support and positive engagement with health behaviour ,
25,Line,,2,,,8,3,None,Arrow,,,
26,Line,,2,,,4,8,None,Arrow,,,
27,Line,,2,,,5,8,None,Arrow,,,
28,Line,,2,,,6,8,None,Arrow,,,
29,Line,,2,,,7,8,None,Arrow,,,
30,Line,,2,,,16,17,None,Arrow,,,
31,Line,,2,,,17,16,None,Arrow,,Transition,
32,Line,,2,,,15,9,None,Arrow,,,
33,Line,,2,,,10,15,None,Arrow,,,
34,Line,,2,,,13,15,None,Arrow,,,
35,Line,,2,,,14,20,None,Arrow,,,
36,Line,,2,,,20,13,None,Arrow,,,
37,Line,,2,,,17,19,None,Arrow,,​-,
38,Line,,2,,,16,19,None,Arrow,,​-,
39,Line,,2,,,22,19,None,Arrow,,​+,
40,Line,,2,,,17,22,Arrow,Arrow,,Transition,
41,Line,,2,,,23,21,None,Arrow,,,
42,Line,,2,,,9,23,None,Arrow,,,
43,Line,,2,,,21,18,None,Arrow,,,
44,Line,,2,,,18,16,None,Arrow,,,
45,Line,,2,,,18,17,None,Arrow,,,
46,Line,,2,,,3,23,None,Arrow,,,
47,Line,,2,,,24,22,None,Arrow,,,
48,Line,,2,,,21,24,None,Arrow,,,
49,Line,,2,,,12,15,None,Arrow,,,
50,Line,,2,,,11,15,None,Arrow,,,
