Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,27. Health Belief Model - RW,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Demographic variables,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived benefits,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived barriers,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Social psychological variables,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived threat,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Likelihood of preventative action,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Structural variables,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived severity,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived susceptibility,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Cues to action,
14,Line,,2,,,3,4,None,Arrow,,,
15,Line,,2,,,3,5,None,Arrow,,,
16,Line,,2,,,3,9,None,Arrow,,,
17,Line,,2,,,6,4,None,Arrow,,,
18,Line,,2,,,6,5,None,Arrow,,,
19,Line,,2,,,6,9,None,Arrow,,,
20,Line,,2,,,10,4,None,Arrow,,,
21,Line,,2,,,10,5,None,Arrow,,,
22,Line,,2,,,10,9,None,Arrow,,,
23,Line,,2,,,4,8,None,Arrow,,​+,
24,Line,,2,,,5,8,None,Arrow,,​-,
25,Line,,2,,,9,8,None,Arrow,,​+,
26,Line,,2,,,11,7,None,Arrow,,Part of,
27,Line,,2,,,12,7,None,Arrow,,Part of,
28,Line,,2,,,7,8,None,Arrow,,​+,
29,Line,,2,,,13,,None,Arrow,,​+,
