Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,28. Health Promotion Model - FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal factors,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived benefits of action,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived barriers to action,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived self-efficacy,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal influences ,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Situational influences,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Immediate competing demands and preferences,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Affect,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Commitment to a plan of action,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Health promoting behaviour,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological ,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Socio-cultural,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Psychological,
16,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Activity-related ,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-related,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Context-related,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitions,
21,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Norms,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Modelling,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Social support,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Prior related behaviour,
26,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
27,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
28,Line,,2,,,13,16,None,Arrow,,,
29,Line,,2,,,15,16,None,Arrow,,,
30,Line,,2,,,14,16,None,Arrow,,,
31,Line,,2,,,16,3,None,Arrow,,,
32,Line,,2,,,4,21,None,Arrow,,,
33,Line,,2,,,5,21,None,Arrow,,,
34,Line,,2,,,6,21,None,Arrow,,,
35,Line,,2,,,10,21,None,Arrow,,,
36,Line,,2,,,7,21,None,Arrow,,,
37,Line,,2,,,26,10,None,Arrow,,,
38,Line,,2,,,8,21,None,Arrow,,,
39,Line,,2,,,23,27,None,Arrow,,,
40,Line,,2,,,22,27,None,Arrow,,,
41,Line,,2,,,24,27,None,Arrow,,,
42,Line,,2,,,27,7,None,Arrow,,,
43,Line,,2,,,17,26,None,Arrow,,,
44,Line,,2,,,18,26,None,Arrow,,,
45,Line,,2,,,19,26,None,Arrow,,,
46,Line,,2,,,3,12,None,Arrow,,,
47,Line,,2,,,3,20,None,Arrow,,,
48,Line,,2,,,21,20,None,Arrow,,,
49,Line,,2,,,25,20,None,Arrow,,,
50,Line,,2,,,25,10,None,Arrow,,,
51,Line,,2,,,25,12,None,Arrow,,,
52,Line,,2,,,4,11,None,Arrow,,​+,
53,Line,,2,,,5,12,None,Arrow,,,
54,Line,,2,,,5,11,None,Arrow,,​-,
55,Line,,2,,,6,5,None,Arrow,,​-,
56,Line,,2,,,6,12,None,Arrow,,,
57,Line,,2,,,11,12,None,Arrow,,​+,
58,Line,,2,,,6,11,None,Arrow,,​+,
59,Line,,2,,,10,6,Arrow,Arrow,,​+,
60,Line,,2,,,7,11,None,Arrow,,,
61,Line,,2,,,8,11,None,Arrow,,,
62,Line,,2,,,9,21,None,Arrow,,,
63,Line,,2,,,9,11,None,Arrow,,​-,
64,Line,,2,,,3,10,None,Arrow,,,
65,Line,,2,,,10,11,None,Arrow,,​+,
66,Line,,2,,,10,12,None,Arrow,,​+/-,
67,Line,,2,,,7,12,None,Arrow,,,
