Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,3. AIDS Risk Reduction Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Labelling,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Commitment,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Knowledge,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Response efficacy,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Enjoyment,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Social networks and norms,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Aversive emotional states,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Transmission knowledge,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived susceptibility,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about the undesirability of AIDS,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Information-seeking,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Enacting solutions,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Obtaining remedies,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Drug consumption,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental cues,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Partner engagement,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Social factors,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Reference group norms,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Social support,
23,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived costs and benefits of changing behaviour,
25,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Enactment,
27,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
28,Line,,2,,,3,4,Arrow,Arrow,,Transition,
29,Line,,2,,,4,26,Arrow,Arrow,,Transition,
30,Line,,2,,,11,3,None,Arrow,,,
31,Line,,2,,,9,3,None,Arrow,,,
32,Line,,2,,,12,3,None,Arrow,,,
33,Line,,2,,,6,4,None,Arrow,,,
34,Line,,2,,,17,10,None,Arrow,,,
35,Line,,2,,,10,28,None,Arrow,,,
36,Line,,2,,,10,29,None,Arrow,,,
37,Line,,2,,,18,29,None,Arrow,,,
38,Line,,2,,,26,3,Arrow,Arrow,,Transition,
39,Line,,2,,,19,28,None,Arrow,,,
40,Line,,2,,,19,29,None,Arrow,,,
41,Line,,2,,,23,20,None,Arrow,,,
42,Line,,2,,,21,23,None,Arrow,,,
43,Line,,2,,,22,23,None,Arrow,,,
44,Line,,2,,,21,6,None,Arrow,,,
45,Line,,2,,,8,25,None,Arrow,,,
46,Line,,2,,,25,24,None,Arrow,,,
47,Line,,2,,,24,4,None,Arrow,,,
48,Line,,2,,,5,24,None,Arrow,,,
49,Line,,2,,,13,3,None,Arrow,,,
50,Line,,2,,,27,26,None,Arrow,,,
51,Line,,2,,,16,27,None,Arrow,,,
52,Line,,2,,,14,27,None,Arrow,,,
53,Line,,2,,,15,27,None,Arrow,,,
54,Line,,2,,,14,16,Arrow,Arrow,,Transition,
55,Line,,2,,,16,15,Arrow,Arrow,,Transition,
56,Line,,2,,,19,38,None,Arrow,,,
57,Line,,2,,,10,38,None,Arrow,,,
58,Line,,2,,,18,38,None,Arrow,,,
59,Line,,2,,,18,28,None,Arrow,,,
60,Line,,2,,,7,25,None,Arrow,,,
61,Line,,2,,,22,24,None,Arrow,,,
