Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,30. Information-Motivation-Behavioural Skills Model - RW +corrections May2020,,
2,Page,,,,,,,,,,Page 1,,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Enactment of AIDS preventive behaviour,,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Performance of behavioural skills,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Information,,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,,
7,Process,Flowchart Shapes/Containers,2,15,,,,,,,Self-acceptance of sexuality,,
8,Process,Flowchart Shapes/Containers,2,15,,,,,,,Ability to acquire behaviourally relevant information,,
9,Process,Flowchart Shapes/Containers,2,15,,,,,,,Self-efficacy,,
10,Process,Flowchart Shapes/Containers,2,15,,,,,,,Ability to practise self and partner reinforcement,,
11,Process,Flowchart Shapes/Containers,2,15,,,,,,,Ability to negotiate AIDS prevention with partner,,
12,Process,Flowchart Shapes/Containers,2,15,,,,,,,Ability to perform public prevention acts,,
13,Process,Flowchart Shapes/Containers,2,15,,,,,,,Consistent AIDS prevention ability,,
14,Process,Flowchart Shapes/Containers,2,15,,,,,,,Group-specific skills,,
15,Rectangle Container,Flowchart Shapes/Containers,2,,,,,,,,,,
16,Process,Flowchart Shapes/Containers,2,20,,,,,,,Information about means of transmission,,
17,Process,Flowchart Shapes/Containers,2,20,,,,,,,Information about means of prevention,,
18,Process,Flowchart Shapes/Containers,2,20,,,,,,,Decision rules about tranmission and prevention,,
19,Process,Flowchart Shapes/Containers,2,20,,,,,,,Implicit theories about risk and prevention,,
20,Rectangle Container,Flowchart Shapes/Containers,2,,,,,,,,,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about outcomes,,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluation of outcomes,,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about support / opposition from significant others,,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply with referent others' wishes,,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Complexity of AIDS preventive behaviour,,
28,Line,,2,,,4,3,None,Arrow,,​+,,
29,Line,,2,,,5,4,None,Arrow,,​+,,
30,Line,,2,,,6,4,None,Arrow,,​+,,
31,Line,,2,,,5,6,None,Arrow,,?,,
32,Line,,2,,,5,6,Arrow,None,,?,,
33,Line,,2,,,15,4,None,Arrow,,Type of,,
34,Line,,2,,,20,5,None,Arrow,,Type of,,
35,Line,,2,,,6,3,None,Arrow,,​+?,,
36,Line,,2,,,5,3,None,Arrow,,​+?,,
37,Line,,2,,,21,6,None,Arrow,,Part of,,
38,Line,,2,,,22,6,None,Arrow,,Part of,,
39,Line,,2,,,23,21,None,Arrow,,*,,
40,Line,,2,,,24,21,None,Arrow,,*,,
41,Line,,2,,,25,22,None,Arrow,,*,,
42,Line,,2,,,26,22,None,Arrow,,*,,
43,Line,,2,,,3,27,None,Arrow,,Has attribute,,
44,Line,,2,,,27,36,None,Arrow,,​-,,
45,Line,,2,,,27,35,None,Arrow,,​-,,
