Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,31. Information-Motivation-Behavioural Skills Model of Adherence Behaviour - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about outcomes,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluation of outcomes,
5,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitude,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal motivation,
8,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceptions of social support,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply,
11,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Social motivation,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Adherence motivation,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Objective abilities,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
16,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Adherence behaviour,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Viral load,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,CD-4 count,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Objective health status,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Subjective health status,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Drug resistance,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Health outcomes ,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Accuracy of information,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Faulty heuristics,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Inaccurate implicit theories,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Information,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Moderating variables ,
29,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Psychological health  ,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Chemical dependency,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Stable or unstable living conditions ,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Ease of access to medication and medical services,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Adherence behavioural skills,
35,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
36,Line,,2,,,4,5,None,Arrow,,,
37,Line,,2,,,3,5,None,Arrow,,,
38,Line,,2,,,5,6,None,Arrow,,,
39,Line,,2,,,9,11,None,Arrow,,,
40,Line,,2,,,10,11,None,Arrow,,,
41,Line,,2,,,11,12,None,Arrow,,,
42,Line,,2,,,7,13,None,Arrow,,,
43,Line,,2,,,12,13,None,Arrow,,,
44,Line,,2,,,16,34,None,Arrow,,,
45,Line,,2,,,14,16,None,Arrow,,,
46,Line,,2,,,15,16,None,Arrow,,,
47,Line,,2,,,13,17,None,Arrow,,,
48,Line,,2,,,18,35,None,Arrow,,,
49,Line,,2,,,19,35,None,Arrow,,,
50,Line,,2,,,20,35,None,Arrow,,,
51,Line,,2,,,22,35,None,Arrow,,,
52,Line,,2,,,24,27,None,Arrow,,,
53,Line,,2,,,25,27,None,Arrow,,,
54,Line,,2,,,27,25,None,Arrow,,,
55,Line,,2,,,26,27,None,Arrow,,,
56,Line,,2,,,23,27,None,Arrow,,,
57,Line,,2,,,17,23,None,Arrow,,,
58,Line,,2,,,23,34,None,Arrow,,,
59,Line,,2,,,23,13,None,Arrow,,,
60,Line,,2,,,27,34,None,Arrow,,,
61,Line,,2,,,32,29,None,Arrow,,,
62,Line,,2,,,33,29,None,Arrow,,,
63,Line,,2,,,29,28,None,Arrow,,,
64,Line,,2,,,21,35,None,Arrow,,,
65,Line,,2,,,30,29,None,Arrow,,,
66,Line,,2,,,31,29,None,Arrow,,,
67,Line,,2,,,35,23,None,Arrow,,,
68,Line,,2,,,28,13,None,Arrow,,,
69,Line,,2,,,28,27,None,Arrow,,,
70,Line,,2,,,13,34,None,Arrow,,,
71,Line,,2,,,28,34,None,Arrow,,,
72,Line,,2,,,34,17,None,Arrow,,,
73,Line,,2,,,6,8,None,Arrow,,,
74,Line,,2,,,8,7,None,Arrow,,,
