Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,32. Integrated Theoretical Model for Alcohol and Other Drug Abuse Prevention - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrapersonal factors,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental factors,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour change,
6,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
7,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived severity / severity of the problem,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural options,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived susceptibility / personal susceptibility ,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to  change,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Efficacy expectations,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural skills,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectations,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Supportive environment,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental pressures,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal situations,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-enhancing activities,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Line,,2,,,7,4,None,Arrow,,,
22,Line,,2,,,6,3,None,Arrow,,,
23,Line,,2,,,8,6,None,Arrow,,,
24,Line,,2,,,8,11,None,Arrow,,,
25,Line,,2,,,9,6,None,Arrow,,,
26,Line,,2,,,9,11,None,Arrow,,,
27,Line,,2,,,10,11,None,Arrow,,,
28,Line,,2,,,10,6,None,Arrow,,,
29,Line,,2,,,11,5,None,Arrow,,,
30,Line,,2,,,12,29,None,Arrow,,,
31,Line,,2,,,13,29,None,Arrow,,,
32,Line,,2,,,20,12,None,Arrow,,,
33,Line,,2,,,14,11,None,Arrow,,,
34,Line,,2,,,14,20,None,Arrow,,,
35,Line,,2,,,15,20,None,Arrow,,,
36,Line,,2,,,14,5,None,Arrow,,,
37,Line,,2,,,16,5,None,Arrow,,,
38,Line,,2,,,19,16,None,Arrow,,,
39,Line,,2,,,18,16,None,Arrow,,,
40,Line,,2,,,17,16,None,Arrow,,,
41,Line,,2,,,18,7,None,Arrow,,,
42,Line,,2,,,17,7,None,Arrow,,,
43,Line,,2,,,19,7,None,Arrow,,,
