Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,33. Integrated Theory of Drinking Behaviour - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Macro / societal level ,
4,Circle,Geometric Shapes,2,,,,,,,,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Social interaction,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Models of drinking,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Formal social controls,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Legal availability,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Economic availability,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical availability,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social roles,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Social integration / anomie,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Public policy,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Social / institutional structures,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Market mechanisms,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological / pharmacological factors,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Conditioned responses,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual level,
19,Circle,Geometric Shapes,2,,,,,,,,,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Expectancies about alcohol's effects,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Meanings of alcohol use,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Rewarding effects of alcohol with respect to costs,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive perceptions ,
24,Circle,Geometric Shapes,2,,,,,,,,,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-esteem,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Locus of control,
27,Circle,Geometric Shapes,2,,,,,,,,,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,General beliefs / perceptions / personality,
29,Block,Standard,2,,,,,,,,Behaviour,
30,Line,,2,,,5,11,None,Arrow,,,
31,Line,,2,,,12,5,None,Arrow,,,
32,Line,,2,,,15,10,None,Arrow,,,
33,Line,,2,,,14,12,None,Arrow,,,
34,Line,,2,,,15,14,None,Arrow,,,
35,Line,,2,,,13,14,None,Arrow,,,
36,Line,,2,,,14,9,None,Arrow,,,
37,Line,,2,,,15,6,None,Arrow,,,
38,Line,,2,,,14,6,None,Arrow,,,
39,Line,,2,,,13,9,None,Arrow,,,
40,Line,,2,,,8,4,None,Arrow,,,
41,Line,,2,,,7,4,None,Arrow,,,
42,Line,,2,,,6,4,None,Arrow,,,
43,Line,,2,,,27,28,None,Arrow,,,
44,Line,,2,,,28,19,None,Arrow,,,
45,Line,,2,,,7,29,None,Arrow,,,
46,Line,,2,,,8,29,None,Arrow,,,
47,Line,,2,,,5,17,None,Arrow,,,
48,Line,,2,,,9,23,None,Arrow,,,
49,Line,,2,,,5,23,None,Arrow,,,
50,Line,,2,,,5,28,None,Arrow,,,
51,Line,,2,,,11,29,None,Arrow,,,
52,Line,,2,,,29,28,None,Arrow,,,
53,Line,,2,,,28,29,None,Arrow,,,
54,Line,,2,,,17,29,None,Arrow,,,
55,Line,,2,,,16,29,None,Arrow,,,
56,Line,,2,,,19,18,None,Arrow,,,
57,Line,,2,,,20,24,None,Arrow,,,
58,Line,,2,,,22,24,None,Arrow,,,
59,Line,,2,,,21,24,None,Arrow,,,
60,Line,,2,,,25,27,None,Arrow,,,
61,Line,,2,,,26,27,None,Arrow,,,
62,Line,,2,,,13,6,None,Arrow,,,
63,Line,,2,,,14,5,None,Arrow,,,
64,Line,,2,,,10,23,None,Arrow,,,
65,Line,,2,,,4,3,None,Arrow,,,
66,Line,,2,,,15,4,None,Arrow,,,
67,Line,,2,,,14,4,None,Arrow,,,
68,Line,,2,,,11,4,None,Arrow,,,
69,Line,,2,,,10,4,None,Arrow,,,
70,Line,,2,,,5,4,None,Arrow,,,
71,Line,,2,,,12,4,None,Arrow,,,
72,Line,,2,,,9,71,None,Arrow,,,
73,Line,,2,,,16,19,None,Arrow,,,
74,Line,,2,,,17,19,None,Arrow,,,
75,Line,,2,,,8,23,None,Arrow,,,
76,Line,,2,,,11,23,None,Arrow,,,
77,Line,,2,,,6,23,None,Arrow,,,
78,Line,,2,,,10,29,None,Arrow,,,
79,Line,,2,,,24,23,None,Arrow,,,
80,Line,,2,,,13,10,None,Arrow,,,
81,Line,,2,,,13,8,None,Arrow,,,
82,Line,,2,,,13,7,None,Arrow,,,
83,Line,,2,,,13,4,None,Arrow,,,
84,Line,,2,,,23,29,None,Arrow,,,
85,Line,,2,,,9,29,None,Arrow,,,
86,Line,,2,,,7,23,None,Arrow,,,
87,Line,,2,,,23,19,None,Arrow,,,
