Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,34. Integrated Theory of Health Behaviour Change - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Block,Standard,2,,,,,,,,Knowledge and beliefs ,
4,Block,Standard,2,,,,,,,,Health status ,
5,Block,Standard,2,,,,,,,,Self-management behaviours / health behaviour change ,
6,Block,Standard,2,,,,,,,,Goal congruence ,
7,Block,Standard,2,,,,,,,,Outcome expectancy ,
8,Block,Standard,2,,,,,,,,Self-efficacy ,
9,Block,Standard,2,,,,,,,,Condition specific knowledge ,
10,Block,Standard,2,,,,,,,,"Collaboration between individuals, families, healthcare professionals ",
11,Block,Standard,2,,,,,,,,Social support ,
12,Block,Standard,2,,,,,,,,Social influence ,
13,Block,Standard,2,,,,,,,,Social facilitation ,
14,Block,Standard,2,,,,,,,,Managing emotions and responses ,
15,Block,Standard,2,,,,,,,,Planning ,
16,Block,Standard,2,,,,,,,,Decision making ,
17,Block,Standard,2,,,,,,,,Self evaluation ,
18,Block,Standard,2,,,,,,,,Self-monitoring and reflective thinking ,
19,Block,Standard,2,,,,,,,,Goal setting ,
20,Block,Standard,2,,,,,,,,Self-regulation skills and abilities ,
21,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
22,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
23,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
24,Line,,2,,,19,22,None,Arrow,,,
25,Line,,2,,,18,22,None,Arrow,,,
26,Line,,2,,,17,22,None,Arrow,,,
27,Line,,2,,,16,22,None,Arrow,,,
28,Line,,2,,,15,22,None,Arrow,,,
29,Line,,2,,,14,22,None,Arrow,,,
30,Line,,2,,,23,13,None,Arrow,,,
31,Line,,2,,,12,23,None,Arrow,,,
32,Line,,2,,,11,23,None,Arrow,,,
33,Line,,2,,,10,23,None,Arrow,,,
34,Line,,2,,,13,3,Arrow,Arrow,,Correlation,
35,Line,,2,,,22,20,None,Arrow,,,
36,Line,,2,,,13,20,Arrow,Arrow,,Correlation,
37,Line,,2,,,20,3,Arrow,Arrow,,Correlation,
38,Line,,2,,,20,5,None,Arrow,,​+,
39,Line,,2,,,13,5,None,Arrow,,​+,
40,Line,,2,,,9,5,None,Arrow,,​+,
41,Line,,2,,,8,5,None,Arrow,,​+,
42,Line,,2,,,7,5,None,Arrow,,​+,
43,Line,,2,,,6,5,None,Arrow,,​+,
44,Line,,2,,,5,4,None,Arrow,,​+,
45,Line,,2,,,9,21,None,Arrow,,,
46,Line,,2,,,8,21,None,Arrow,,,
47,Line,,2,,,6,21,None,Arrow,,,
48,Line,,2,,,21,3,None,Arrow,,,
49,Line,,2,,,7,21,None,Arrow,,,
