Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,42. Norm Activation Theory - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of need and responsibility,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Awareness of need,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception that need can be relieved by action,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Recognition of own ability to provide relief,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Causal responsibility,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Distinctive Suitability,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Directed appeal,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Specific personal norms,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,"Assessment, evaluation and reassessment",
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Assessment and evaluation of responses,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Denial of the state of Need,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Denial of responsibility to respond,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Denial of suitability of norms,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Action or inaction response,
18,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
19,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Costs and benefits,
22,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Psychological,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Moral,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Reassessment and redefinition of the situation,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Accountability,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Arousal of some sense of responsibility to respond,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Activation of norms,
31,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
32,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
33,Line,,2,,,18,3,None,Arrow,,,
34,Line,,2,,,4,18,None,Arrow,,,
35,Line,,2,,,5,18,None,Arrow,,,
36,Line,,2,,,6,18,None,Arrow,,,
37,Line,,2,,,29,18,None,Arrow,,,
38,Line,,2,,,6,29,None,Arrow,,,
39,Line,,2,,,12,17,None,Arrow,,​+,
40,Line,,2,,,30,12,None,Arrow,,​+,
41,Line,,2,,,7,29,None,Arrow,,,
42,Line,,2,,,8,29,None,Arrow,,,
43,Line,,2,,,10,17,None,Arrow,,,
44,Line,,2,,,11,10,None,Arrow,,,
45,Line,,2,,,19,12,None,Arrow,,,
46,Line,,2,,,13,19,None,Arrow,,,
47,Line,,2,,,21,20,None,Arrow,,,
48,Line,,2,,,22,21,None,Arrow,,,
49,Line,,2,,,25,22,None,Arrow,,,
50,Line,,2,,,9,29,None,Arrow,,,
51,Line,,2,,,28,29,None,Arrow,,,
52,Line,,2,,,26,19,None,Arrow,,,
53,Line,,2,,,13,26,Arrow,Arrow,,Transition,
54,Line,,2,,,27,22,None,Arrow,,,
55,Line,,2,,,23,22,None,Arrow,,,
56,Line,,2,,,24,22,None,Arrow,,,
57,Line,,2,,,13,10,None,Arrow,,,
58,Line,,2,,,11,27,None,Arrow,,,
59,Line,,2,,,4,5,None,Arrow,,,
60,Line,,2,,,5,6,None,Arrow,,,
61,Line,,2,,,31,26,None,Arrow,,,
62,Line,,2,,,3,30,None,Arrow,,​+,
63,Line,,2,,,29,62,None,Arrow,,​+,
64,Line,,2,,,11,32,None,Arrow,,,
65,Line,,2,,,10,32,None,Arrow,,,
66,Line,,2,,,32,30,None,Arrow,,,
67,Line,,2,,,26,17,None,Arrow,,​+,
68,Line,,2,,,16,31,None,Arrow,,,
69,Line,,2,,,15,31,None,Arrow,,,
70,Line,,2,,,14,31,None,Arrow,,,
71,Line,,2,,,10,26,None,Arrow,,,
72,Line,,2,,,20,13,None,Arrow,,,
