Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,56. Self-determination theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Needs,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Autonomy ,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Competence,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Relatedness,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Supports,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Frustration of needs,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Satisfaction / fulfillment of needs,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Internalisation,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Introjected regulation ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Identified regulation ,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Integrated regulation ,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrinsic regulation,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,External regulation ,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Non-regulation,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Amotivation ,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Extrinsic motivation / goals ,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
20,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrinsic motivation / goals,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Social contexts,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
24,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Thwarts,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Autonomous motivation,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Controlled motivation,
28,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
29,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
30,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
31,Line,,2,,,9,10,None,Arrow,,​+,
32,Line,,2,,,8,10,None,Arrow,,​-,
33,Line,,2,,,3,9,None,Arrow,,,
34,Line,,2,,,3,8,None,Arrow,,,
35,Line,,2,,,5,24,None,Arrow,,,
36,Line,,2,,,4,24,None,Arrow,,,
37,Line,,2,,,6,24,None,Arrow,,,
38,Line,,2,,,10,13,None,Arrow,,,
39,Line,,2,,,10,12,None,Arrow,,,
40,Line,,2,,,10,11,None,Arrow,,,
41,Line,,2,,,10,15,None,Arrow,,,
42,Line,,2,,,14,21,None,Arrow,,,
43,Line,,2,,,18,20,None,Arrow,,,
44,Line,,2,,,21,20,None,Arrow,,,
45,Line,,2,,,17,20,None,Arrow,,,
46,Line,,2,,,20,19,None,Arrow,,,
47,Line,,2,,,19,23,None,Arrow,,,
48,Line,,2,,,9,14,None,Arrow,,,
49,Line,,2,,,8,16,None,Arrow,,,
50,Line,,2,,,7,9,None,Arrow,,,
51,Line,,2,,,25,8,None,Arrow,,,
52,Line,,2,,,7,30,None,Arrow,,,
53,Line,,2,,,25,30,None,Arrow,,,
54,Line,,2,,,30,22,None,Arrow,,,
55,Line,,2,,,16,17,None,Arrow,,,
56,Line,,2,,,22,3,None,Arrow,,,
57,Line,,2,,,24,3,None,Arrow,,,
58,Line,,2,,,14,28,None,Arrow,,,
59,Line,,2,,,13,28,None,Arrow,,,
60,Line,,2,,,12,28,None,Arrow,,,
61,Line,,2,,,15,29,None,Arrow,,,
62,Line,,2,,,11,18,None,Arrow,,,
63,Line,,2,,,12,18,None,Arrow,,,
64,Line,,2,,,13,18,None,Arrow,,,
65,Line,,2,,,15,18,None,Arrow,,,
66,Line,,2,,,11,29,None,Arrow,,,
67,Line,,2,,,28,26,None,Arrow,,,
68,Line,,2,,,29,27,None,Arrow,,,
69,Line,,2,,,26,20,None,Arrow,,,
70,Line,,2,,,27,20,None,Arrow,,,
