Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,57. Self-efficacy theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Sources of efficacy expectations,
4,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Performance accomplishments / mastery experiences,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Vicarious experience,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Verbal persuasion,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotional arousal / physiological states,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Modes of treatment,
10,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Participant modelling,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Performance desensitisation,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Performance exposure,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-instructed performance,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Live modelling,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Symbolic modelling,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Suggestion ,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Exhortation,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-instruction,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpretative treatments,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Attribution,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,"Relaxation, biofeedback",
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Symbolic desensitisation,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Symbolic exposure,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Magnitude,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Generality,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Strength,
29,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Choices of behavioural activities and settings,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectancies,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Effort ,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Persistence,
35,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Capabilities,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive appraisal of efficacy information,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Social circumstances,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Situational circumstances,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Temporal circumstances,
41,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
42,Process,Flowchart Shapes/Containers,2,,,,,,,,Incentives,
43,Line,,2,,,5,4,None,Arrow,,,
44,Line,,2,,,6,4,None,Arrow,,,
45,Line,,2,,,7,4,None,Arrow,,,
46,Line,,2,,,8,4,None,Arrow,,,
47,Line,,2,,,4,3,None,Arrow,,,
48,Line,,2,,,11,5,None,Arrow,,,
49,Line,,2,,,12,5,None,Arrow,,,
50,Line,,2,,,13,5,None,Arrow,,,
51,Line,,2,,,14,5,None,Arrow,,,
52,Line,,2,,,15,6,None,Arrow,,,
53,Line,,2,,,16,6,None,Arrow,,,
54,Line,,2,,,17,7,None,Arrow,,,
55,Line,,2,,,18,7,None,Arrow,,,
56,Line,,2,,,19,7,None,Arrow,,,
57,Line,,2,,,20,7,None,Arrow,,,
58,Line,,2,,,21,8,None,Arrow,,,
59,Line,,2,,,22,8,None,Arrow,,,
60,Line,,2,,,23,8,None,Arrow,,,
61,Line,,2,,,24,8,None,Arrow,,,
62,Line,,2,,,11,10,None,Arrow,,,
63,Line,,2,,,12,10,None,Arrow,,,
64,Line,,2,,,13,10,None,Arrow,,,
65,Line,,2,,,14,10,None,Arrow,,,
66,Line,,2,,,15,10,None,Arrow,,,
67,Line,,2,,,16,10,None,Arrow,,,
68,Line,,2,,,17,10,None,Arrow,,,
69,Line,,2,,,18,10,None,Arrow,,,
70,Line,,2,,,19,10,None,Arrow,,,
71,Line,,2,,,20,10,None,Arrow,,,
72,Line,,2,,,21,10,None,Arrow,,,
73,Line,,2,,,22,10,None,Arrow,,,
74,Line,,2,,,23,10,None,Arrow,,,
75,Line,,2,,,24,10,None,Arrow,,,
76,Line,,2,,,26,29,None,Arrow,,,
77,Line,,2,,,27,29,None,Arrow,,,
78,Line,,2,,,28,29,None,Arrow,,,
79,Line,,2,,,29,25,None,Arrow,,,
80,Line,,2,,,3,25,None,Arrow,,,
81,Line,,2,,,33,35,None,Arrow,,,
82,Line,,2,,,34,35,None,Arrow,,,
83,Line,,2,,,35,32,None,Arrow,,,
84,Line,,2,,,30,32,None,Arrow,,,
85,Line,,2,,,31,32,None,Arrow,,,
86,Line,,2,,,25,30,None,Arrow,,,
87,Line,,2,,,25,31,None,Arrow,,,
88,Line,,2,,,32,25,None,Arrow,,,
89,Line,,2,,,37,80,None,Arrow,,,
90,Line,,2,,,38,41,None,Arrow,,,
91,Line,,2,,,40,41,None,Arrow,,,
92,Line,,2,,,36,85,None,Arrow,,,
93,Line,,2,,,42,85,None,Arrow,,,
94,Line,,2,,,39,41,None,Arrow,,,
95,Line,,2,,,41,37,None,Arrow,,,
96,Line,,2,,,32,5,None,Arrow,,,
97,Line,,2,,,10,9,None,Arrow,,,
