Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,59. Six staged model of communication effects - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Pre-contemplation,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Maintenance,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Exposure to a message,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Comprehension,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Identification with messenger,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Contemplation,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Persuasion,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Assessment of pros and cons of alternative attitudes / behaviours,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Role modelling ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Parasocial interaction,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Sucessful experience,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Social support,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Action,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Availabilty / accessibilty of necessary services,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
18,Block,Standard,2,,,,,,,,Preparation,
19,Block,Standard,2,,,,,,,,Validation,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Understanding of a message,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of message relevance,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Message Awareness,
23,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural Intention,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,"Interpersonal communication with peers, partners and / or experts",
27,Line,,2,,,5,6,None,Arrow,,,
28,Line,,2,,,5,7,None,Arrow,,,
29,Line,,2,,,11,17,None,Arrow,,,
30,Line,,2,,,18,19,Arrow,Arrow,,Transition,
31,Line,,2,,,19,15,Arrow,Arrow,,Transition,
32,Line,,2,,,15,4,None,Arrow,,,
33,Line,,2,,,8,18,Arrow,Arrow,,Transition,
34,Line,,2,,,4,15,None,Arrow,,Transition,
35,Line,,2,,,5,12,None,Arrow,,,
36,Line,,2,,,11,31,None,Arrow,,,
37,Line,,2,,,5,11,None,Arrow,,,
38,Line,,2,,,6,20,None,Arrow,,,
39,Line,,2,,,7,21,None,Arrow,,,
40,Line,,2,,,21,23,None,Arrow,,,
41,Line,,2,,,20,23,None,Arrow,,,
42,Line,,2,,,12,17,None,Arrow,,,
43,Line,,2,,,11,10,None,Arrow,,,
44,Line,,2,,,10,9,None,Arrow,,,
45,Line,,2,,,9,25,None,Arrow,,,
46,Line,,2,,,13,34,None,Arrow,,,
47,Line,,2,,,14,34,None,Arrow,,,
48,Line,,2,,,11,26,None,Arrow,,,
49,Line,,2,,,26,14,None,Arrow,,,
50,Line,,2,,,26,30,None,Arrow,,,
51,Line,,2,,,16,31,None,Arrow,,,
52,Line,,2,,,3,8,Arrow,Arrow,,Transition,
53,Line,,2,,,17,25,None,Arrow,,,
54,Line,,2,,,25,24,None,Arrow,,,
55,Line,,2,,,24,33,None,Arrow,,,
56,Line,,2,,,26,9,None,Arrow,,,
57,Line,,2,,,23,22,None,Arrow,,,
58,Line,,2,,,22,52,None,Arrow,,,
59,Line,,2,,,26,31,None,Arrow,,,
