Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,62. Social Change Theory - FINAL,
2,Page,,,,,,,,,,62. Social Change Theory,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,External environment,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Community system,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Norms,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Key events,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Secular trends,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Policies,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Economic conditions,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Technologies,
12,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Vested interests,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Social movements,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Community development,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Locality development ,
17,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Community organisations,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Leadership,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Organisational development,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Diffusion,
22,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Role models,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Collective action,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Social environment,
26,Line,,2,,,3,5,None,Arrow,,,
27,Line,,2,,,7,17,None,Arrow,,,
28,Line,,2,,,10,17,None,Arrow,,,
29,Line,,2,,,8,17,None,Arrow,,,
30,Line,,2,,,9,17,None,Arrow,,,
31,Line,,2,,,11,17,None,Arrow,,,
32,Line,,2,,,17,3,None,Arrow,,,
33,Line,,2,,,12,4,None,Arrow,,,
34,Line,,2,,,5,12,None,Arrow,,,
35,Line,,2,,,13,5,None,Arrow,,,
36,Line,,2,,,14,35,None,Arrow,,,
37,Line,,2,,,15,6,None,Arrow,,,
38,Line,,2,,,5,6,None,Arrow,,,
39,Line,,2,,,16,6,None,Arrow,,,
40,Line,,2,,,18,6,None,Arrow,,,
41,Line,,2,,,22,5,None,Arrow,,,
42,Line,,2,,,19,18,None,Arrow,,,
43,Line,,2,,,23,5,None,Arrow,,,
44,Line,,2,,,24,5,None,Arrow,,,
45,Line,,2,,,25,5,None,Arrow,,,
46,Line,,2,,,20,22,None,Arrow,,,
47,Line,,2,,,21,22,None,Arrow,,,
