Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,63. Social Cognitive Theory - RW,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Environment,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal and cognitive factors,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-reflective capability,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-regulatory capability,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Vicarious learning capability,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Forethought capability,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Symbolising capability,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectations,
13,Line,,2,,,4,3,None,Arrow,,​+,
14,Line,,2,,,5,3,None,Arrow,,,
15,Line,,2,,,6,3,None,Arrow,,,
16,Line,,2,,,3,5,None,Arrow,,,
17,Line,,2,,,3,6,None,Arrow,,,
18,Line,,2,,,7,4,Arrow,None,,Part of,
19,Line,,2,,,7,6,None,Arrow,,Type of,
20,Line,,2,,,8,6,None,Arrow,,Type of,
21,Line,,2,,,9,6,None,Arrow,,Type of,
22,Line,,2,,,9,8,None,Arrow,,​+,
23,Line,,2,,,10,6,None,Arrow,,Type of,
24,Line,,2,,,11,6,None,Arrow,,Type of,
25,Line,,2,,,11,10,None,Arrow,,​+,
26,Line,,2,,,12,10,None,Arrow,,Part of,
27,Line,,2,,,12,8,None,Arrow,,​+,
28,Line,,2,,,6,5,None,Arrow,,,
29,Line,,2,,,5,6,None,Arrow,,,
30,Line,,2,,,8,4,None,Arrow,,​+,
