Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,64. Social consensus model of health education - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual knowledge,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual beliefs,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual attitudes,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Social knowledge,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Social beliefs,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Social meanings,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Education,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Social environment / consensus ,
13,Text,Standard,2,,,,,,,,,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Stereotypes,
15,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal relevance,
17,Line,,2,,,3,4,None,Arrow,,,
18,Line,,2,,,12,4,None,Arrow,,,
19,Line,,2,,,11,3,None,Arrow,,,
20,Line,,2,,,11,5,None,Arrow,,,
21,Line,,2,,,11,6,None,Arrow,,,
22,Line,,2,,,7,15,None,Arrow,,,
23,Line,,2,,,8,15,None,Arrow,,,
24,Line,,2,,,9,15,None,Arrow,,,
25,Line,,2,,,10,15,None,Arrow,,,
26,Line,,2,,,14,15,None,Arrow,,,
27,Line,,2,,,5,4,None,Arrow,,,
28,Line,,2,,,6,4,None,Arrow,,,
29,Line,,2,,,12,6,None,Arrow,,,
30,Line,,2,,,12,5,None,Arrow,,,
31,Line,,2,,,12,3,None,Arrow,,,
32,Line,,2,,,8,16,Arrow,Arrow,,,
33,Line,,2,,,7,16,Arrow,Arrow,,,
34,Line,,2,,,16,18,None,Arrow,,,
35,Line,,2,,,11,7,None,Arrow,,,
36,Line,,2,,,11,8,None,Arrow,,,
37,Line,,2,,,11,9,None,Arrow,,,
38,Line,,2,,,11,10,None,Arrow,,,
39,Line,,2,,,11,14,None,Arrow,,,
40,Line,,2,,,15,12,None,Arrow,,,
41,Line,,2,,,9,16,None,Arrow,,,
