Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,65. Social Development Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Delinquent / non-delinquent Behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Social Bonding,
5,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
6,Process,Flowchart Shapes/Containers,2,,,,,,,, Belief (prosocial / antisocial),
7,Process,Flowchart Shapes/Containers,2,,,,,,,, Attachment (prosocial / antisocial),
8,Process,Flowchart Shapes/Containers,2,,,,,,,, Commitment (prosocial / antisocial),
9,Process,Flowchart Shapes/Containers,2,,,,,,,, Involvement (prosocial / antisocial),
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Skills for Involvement,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement for  involvement (prosocial / antisocial),
12,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Opportunities for  involvement (prosocial / antisocial),
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Sex,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,SES,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Race,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,School,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Family,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Peers,
20,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Units of Socialisation,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Communities,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,External constraints,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Position in the social structure,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Constitutional factors,
27,Line,,2,,,5,4,None,Arrow,,,
28,Line,,2,,,8,5,None,Arrow,,,
29,Line,,2,,,6,5,None,Arrow,,,
30,Line,,2,,,7,5,None,Arrow,,,
31,Line,,2,,,4,3,None,Arrow,,,
32,Line,,2,,,9,4,None,Arrow,,,
33,Line,,2,,,12,9,None,Arrow,,,
34,Line,,2,,,10,12,None,Arrow,,,
35,Line,,2,,,11,12,None,Arrow,,,
36,Line,,2,,,13,12,None,Arrow,,,
37,Line,,2,,,17,20,None,Arrow,,,
38,Line,,2,,,18,20,None,Arrow,,,
39,Line,,2,,,19,20,None,Arrow,,,
40,Line,,2,,,20,21,None,Arrow,,,
41,Line,,2,,,21,3,None,Arrow,,,
42,Line,,2,,,22,20,None,Arrow,,,
43,Line,,2,,,21,10,None,Arrow,,,
44,Line,,2,,,21,13,None,Arrow,,,
45,Line,,2,,,23,3,None,Arrow,,,
46,Line,,2,,,25,24,None,Arrow,,,
47,Line,,2,,,14,25,None,Arrow,,,
48,Line,,2,,,15,25,None,Arrow,,,
49,Line,,2,,,16,25,None,Arrow,,,
50,Line,,2,,,21,11,None,Arrow,,,
51,Line,,2,,,24,13,None,Arrow,,,
52,Line,,2,,,26,11,None,Arrow,,,
53,Line,,2,,,26,13,None,Arrow,,,
54,Line,,2,,,21,4,None,Arrow,,,
55,Line,,2,,,4,21,None,Arrow,,,
