Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,67. Social Ecological Model of Walking - FINAL,
2,Page,,,,,,,,,,New Page,
3,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Feasibility ,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Accessibility,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Safety,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Comfort,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Pleasurability,
9,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Antecedents / environmental factors ,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Walking,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Affordances/ Perceived environmental factors,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivations,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Habits,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceptions,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Life cycle circumstances,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual level,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Group level  ,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Regional level,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Type,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Duration,
22,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Hierarchy of walking needs,
24,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
25,Line,,2,,,4,5,None,Arrow,,,
26,Line,,2,,,5,6,None,Arrow,,,
27,Line,,2,,,6,7,None,Arrow,,,
28,Line,,2,,,7,8,None,Arrow,,,
29,Line,,2,,,4,9,None,Arrow,,,
30,Line,,2,,,5,9,None,Arrow,,,
31,Line,,2,,,6,9,None,Arrow,,,
32,Line,,2,,,7,9,None,Arrow,,,
33,Line,,2,,,8,9,None,Arrow,,,
34,Line,,2,,,9,23,None,Arrow,,,
35,Line,,2,,,15,38,None,Arrow,,,
36,Line,,2,,,13,38,None,Arrow,,,
37,Line,,2,,,14,38,None,Arrow,,,
38,Line,,2,,,10,12,None,Arrow,,,
39,Line,,2,,,12,11,None,Arrow,,,
40,Line,,2,,,17,3,None,Arrow,,,
41,Line,,2,,,18,3,None,Arrow,,,
42,Line,,2,,,19,3,None,Arrow,,,
43,Line,,2,,,3,16,None,Arrow,,,
44,Line,,2,,,16,39,None,Arrow,,,
45,Line,,2,,,16,38,None,Arrow,,,
46,Line,,2,,,23,24,None,Arrow,,,
47,Line,,2,,,24,10,None,Arrow,,,
48,Line,,2,,,22,11,None,Arrow,,,
49,Line,,2,,,21,22,None,Arrow,,,
50,Line,,2,,,20,22,None,Arrow,,,
