Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,68. Social Identity Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Social groups,
4,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,In-groups,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Out-groups,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-reference,
8,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,Summing junction,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Value connotations,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Social comparisons,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social categorisation ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-esteem / self-concept,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Inter-group differentiation,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Group membership / social mobility,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Internalised group membership,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Social situation,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Out-group comparability,
18,Text,Standard,2,,,,,,,,,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Social competition,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Social identity,
21,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
22,Line,,2,,,11,3,None,Arrow,,,
23,Line,,2,,,5,4,None,Arrow,,,
24,Line,,2,,,6,4,None,Arrow,,,
25,Line,,2,,,4,3,None,Arrow,,,
26,Line,,2,,,11,7,None,Arrow,,,
27,Line,,2,,,3,8,None,Arrow,,,
28,Line,,2,,,7,8,None,Arrow,,,
29,Line,,2,,,20,8,Arrow,None,,,
30,Line,,2,,,9,10,None,Arrow,,,
31,Line,,2,,,10,7,None,Arrow,,​+,
32,Line,,2,,,20,14,None,Arrow,,​-,
33,Line,,2,,,20,13,None,Arrow,,,
34,Line,,2,,,12,33,None,Arrow,,,
35,Line,,2,,,13,9,None,Arrow,,,
36,Line,,2,,,15,13,None,Arrow,,,
37,Line,,2,,,16,13,None,Arrow,,,
38,Line,,2,,,17,13,None,Arrow,,,
39,Line,,2,,,19,13,None,Arrow,,,
40,Line,,2,,,9,12,None,Arrow,,,
41,Line,,2,,,20,19,None,Arrow,,​-,
42,Line,,2,,,20,9,None,Arrow,,,
43,Line,,2,,,20,6,None,Arrow,,,
44,Line,,2,,,9,21,None,Arrow,,,
45,Line,,2,,,6,21,Arrow,None,,,
46,Line,,2,,,5,21,Arrow,None,,,
