Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,71. Social Norms Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Injuctive norms,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Descriptive norms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived norms,
6,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Actual norms,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Misperceptions,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Pluralistic ignorance,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,False consensus,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,False uniqueness,
12,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Healthy behaviour,
14,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Corrected misperceptions,
16,Line,,2,,,3,6,None,Arrow,,,
17,Line,,2,,,4,6,None,Arrow,,,
18,Line,,2,,,6,5,None,Arrow,,,
19,Line,,2,,,9,14,None,Arrow,,,
20,Line,,2,,,10,14,None,Arrow,,,
21,Line,,2,,,14,8,None,Arrow,,,
22,Line,,2,,,11,14,None,Arrow,,,
23,Line,,2,,,7,12,None,Arrow,,,
24,Line,,2,,,5,12,None,Arrow,,,
25,Line,,2,,,8,13,None,Arrow,, - ,
26,Line,,2,,,6,7,None,Arrow,,,
27,Line,,2,,,8,15,None,Arrow,,,
28,Line,,2,,,15,13,None,Arrow,,​+,
29,Line,,2,,,12,8,None,Arrow,,,
