Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,72. Systems model of behaviour change - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,External antecedent condition,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal antecedent condition,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Socio-psychological condition,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural condition,
7,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Parental and hereditary / genetic process,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Socio-cultural environmental milieu ,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal demographic dynamics,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal socialisation process,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal health dynamics,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of self,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of social influence,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of health status,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of environmental factors,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention formation process,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural repertoire,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour change / maintenance,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudinal variables,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Health beliefs,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about incentives / barriers for health behaviour,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Skills / behaviours,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Health behaviours,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal demographic characteristics,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,"Birthdate, sex",
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Family structure,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Basic physiological make-up,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Health environmental factors,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences,
32,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
33,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
34,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Health intention,
36,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
37,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Health status,
39,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
40,Line,,2,,,8,7,None,Arrow,,,
41,Line,,2,,,3,7,Arrow,None,,,
42,Line,,2,,,7,9,Arrow,None,,,
43,Line,,2,,,29,7,None,Arrow,,,
44,Line,,2,,,27,7,None,Arrow,,,
45,Line,,2,,,28,7,None,Arrow,,,
46,Line,,2,,,30,7,None,Arrow,,,
47,Line,,2,,,4,32,Arrow,None,,,
48,Line,,2,,,10,32,None,Arrow,,,
49,Line,,2,,,26,32,None,Arrow,,,
