Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,77. Theory of Interpersonal Behaviour - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Block,Standard,2,,,,,,,,Social factors ,
4,Block,Standard,2,,,,,,,,Goals ,
5,Block,Standard,2,,,,,,,,Acts / behaviour ,
6,Block,Standard,2,,,,,,,,Facilitating conditions ,
7,Block,Standard,2,,,,,,,,Habit ,
8,Block,Standard,2,,,,,,,,Specific behavioural intentions ,
9,Block,Standard,2,,,,,,,,Value of the perceived consequences ,
10,Block,Standard,2,,,,,,,,Value of consequences ,
11,Block,Standard,2,,,,,,,,Perceived probability of consequences ,
12,Block,Standard,2,,,,,,,,Affect (associated with the behaviour),
13,Block,Standard,2,,,,,,,,Cues (associated with behaviour) ,
14,Block,Standard,2,,,,,,,,Self-image / Self-concept ,
15,Block,Standard,2,,,,,,,,Self-monitoring ,
16,Block,Standard,2,,,,,,,,Contractual arrangements ,
17,Block,Standard,2,,,,,,,,General behavioural intentions ,
18,Block,Standard,2,,,,,,,,Roles ,
19,Block,Standard,2,,,,,,,,Norms / rules of behaviour ,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
22,Line,,2,,,20,3,None,Arrow,,,
23,Line,,2,,,13,12,None,Arrow,,,
24,Line,,2,,,11,21,None,Arrow,,,
25,Line,,2,,,10,21,None,Arrow,,,
26,Line,,2,,,21,9,None,Arrow,,,
27,Line,,2,,,12,8,None,Arrow,,,
28,Line,,2,,,9,8,None,Arrow,,,
29,Line,,2,,,3,8,None,Arrow,,,
30,Line,,2,,,8,5,None,Arrow,,,
31,Line,,2,,,5,4,None,Arrow,,,
32,Line,,2,,,7,5,None,Arrow,,,
33,Line,,2,,,6,32,None,Arrow,,,
34,Line,,2,,,15,20,None,Arrow,,,
35,Line,,2,,,19,20,None,Arrow,,,
36,Line,,2,,,14,20,None,Arrow,,,
37,Line,,2,,,18,20,None,Arrow,,,
38,Line,,2,,,16,20,None,Arrow,,,
39,Line,,2,,,17,20,None,Arrow,,,
40,Line,,2,,,6,30,None,Arrow,,,
